OBJECTID,GROUP_NAME,GROUP_ID,COMB_DEP_IDs,COMB_NAMES,COMB_DMEA,LONGITUDE,LATITUDE,STATE,COUNTY,COMM_PRIM,COMM_SEC_TER,DEP_TYPE,WORK_TYPE,MODEL,ALTERATION,REFS,PROD_t,PROD_pct_WO3,PROD_WO3_t,PROD_WO3_stu,RESOUR_t,RESOUR_pct_WO3,RESOUR_WO3,RANK,URL
455,Getchell Sec. 5 Pit,455,10310488 | 10149626 | 10045091 | 10310489 | 10310336 | 10310490 | 10045077,Getchell Gold Mine | Section 4 Pit | Getchell Sec. 5 Pit | Hansen Creek Deposit | Center pit | Getchell Undg/Turquoise Ridge | North Pit | South pit | Summer Camp Deposit | Turquoise Ridge Mine,,-117.2579957,41.2161653,Nevada,Humboldt,"AU, AG, W","F-Fluorite, BI, SB, W, SN, BA-Barite, MO, AG, TE, AS, PB, CU, ZN, TL, HG",Replacement | Contact Metamorphic | Sediment-hosted Au;  replacement,Surface,42: W skarn | 173: Sediment-hosted Au,"Alteration comments: there is a metamorphic aureole around the Osgood Mountains granodiorite which has produced in the  surrounding shaly rocks a mineral assemblage consisting of cordierite-, biotite-, and andalusite-hornfels. Locally limy beds are recrys","Joralemon, 1978 | Hobbs and Clabaugh, 1946 | Cavender, 1963 | Joralemon, 1975 | Hotz and Willden, 1964 | Hardy, 1938 | Berger and Taylor, 1980 | USBM RI 7383, 1970 | Brooks and Berger, 1978 | Berger and Tingley, 1985 | NBMG Staff, 1994 | Hobbs, 1948 | Sha",,,,,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10310488
456,Golconda Mine,456,10043948 | 10295161 | 10173633,Golconda Mine | Golconda Tungten | Golconda Tungsten Mine | Iron Mask Group | Rare Metals Corp. Mines | NBMG Sample Site 2906,,-117.429078,40.9432596,Nevada,Humboldt,"W, F-Fluorite","MN, W, FE",,Surface,156: Epithermal Mn | ,"Silicification, Argillization And Pyritization Of Underlying Rocks | ","Ransome and Burchard, 1922 | Warner and others, 1959 | Schilling, 1962 | Penrose, 1893 | Papke, 1979 | Snyder, 1978 | Stager and Tingley, 1988 | Vanderburg, 1938a | Kerr, 1940 | Willden, 1964",,,75966.74294,83739,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043948
457,Gold Run No. 23 Claim,457,10047311,NBMG Sample Sites 496 and 497 | Gold Run No. 23 Claim,,-117.4230048,40.8189286,Nevada,Humboldt,"CU, MO, AG, W","MN, CR, BI",,,85: Polymetallic veins,Silicification; Pyritization,"Marsh and Erickson, 1978 | Willden, 1964",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047311
458,Golden Scheelite Prospect,458,10047493 | 10173657,Lincoln and Greenhorn Groups of Claims | Lincoln and Greenhorn | Golden Scheelite Prospect,,-118.8683115,41.5163263,Nevada,Humboldt,W,MO,,,42: W skarn,,"Stager and Tingley, 1988 | Smith, 1966 | Bonham and others, 1985 | Willden, 1964 | John and Bliss, 1993",5,0.71,0.4,3,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047493
459,Gomes Nickel Property,459,10173585,Gomes Nickel Property | Old Smuggler | Eagle Blue Rock Giant | Honolulu Hawaii Giant,,-117.5280923,40.8247748,Nevada,Humboldt,NI,"CU, CO, AU, AG, W",,,,,,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10173585
460,Granite Creek Mine,460,10045079 | 10045093 | 10197632 | 10125118,Tip Top Mine | Granite Creek Mine | Granite Creek | Tip Toe,,-117.2756878,41.1370619,Nevada,Humboldt,W,"CU, MO, FE, W",Contact Metamorphic,Underground,42: W skarn,Contact Metamorphism |  | ,"Bonham and others, 1985 | Hobbs, 1948 | Hobbs and Clabaugh, 1946 | Cavender, 1963 | Hotz and Willden, 1964 | Stager and Tingley, 1988 | Willden, 1964 | John and Bliss, 1993",229246,0.59,1352.5514,1491,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045079
461,Great Northern Claims,461,10045045 | 10125504 | 10295274,Scossa Prospect | Davis-Hicks | Big Wind | Davis-Hicks Prospect | Great Northern Claims | Scoosa,,-117.634156,41.3912377,Nevada,Humboldt,W,,,,42: W skarn,,"Wodzicki, 1964 | Stager and Tingley, 1988 | Compton, 1960 | Roberts, 1940a | Willden, 1964 | John and Bliss, 1993",29,1.6,0.31,34,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045045
462,Hinkey Summit Prospect,462,10045065 | 10271073 | 10270958,Hinkey Summit Property | Bretz Mine | Hinkey Summit,,-117.5418122,41.669401,Nevada,Humboldt,W,,,,42: W skarn,,"Wodzicki, 1964 | Stager and Tingley, 1988 | Willden, 1964 | Bonham and others, 1985",,,0,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045065
463,Ilc Section 13 Mine,463,10271411,Ilc Section 13 Mine,,-117.5320092,40.7290908,Nevada,Humboldt,AU,W,,,,,,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271411
464,King Claims,464,10111470 | 10045048 | 10111398 | 10111449 | 10295566 | 10222776,Nutter-Fitzgerald Prospect | NBMG Samples 2383 | Nutter-Fitsgerald Prospect | Tungsten Occurrence | Santa Rosa Mtns | Tungsten Prospects | Nutter-Fitsgerald | King Claims | Tungsten Prospect,,-117.6451943,41.3428137,Nevada,Humboldt,W,,Contact Metamorphic,,42: W skarn,,"Lemmon and Tweto, 1962 | Stager and Tingley, 1988 | Willden, 1964",,,0,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111470
