OID_,source_ID,Lat_NAD83,Long_NAD83,dep_id,mrds_id,mas_id,site_name,names
304,MRDS_305,45.572093475700001,-111.967547471000003,10196701,DC12009,0300570103,Stasnos Mine,"Mercury, Stasnos, Manhattan, Beaverhead National Forest"
305,MRDS_306,46.080683553599997,-113.264497102999997,10196947,D001165,0300230110,Storm Lake Deposits, 
306,MRDS_307,46.113483552900000,-113.287597090999995,10148355, ,0300390070,Storm Lake Tungsten,Tarlach Tungsten
307,MRDS_308,46.677693423400001,-112.470887145999995,10172957,M060193,0300770191,Strategic and Tungsten Mine,"Snowshoe Gulch, Strategic, Arnold,, Boulder Ores, Inc. - Helena, Mont., Boulder Ores Group, Flagstaff, Friday, Ladysmith,, Old Lady Smith, Montana"
308,MRDS_309,45.663783463900003,-111.936677459999999,10070492,W013446, ,Strawberry-Keystone Group, 
309,MRDS_310,46.230443525500000,-113.115617103000005,10019435,DC10046, ,Straw Hat  Prospect, 
310,MRDS_311,45.749263781800003,-115.325956758000004,10217009, ,0160490009,Strickna, 
311,MRDS_312,46.471273608200001,-114.167036839000005,10173284, ,0300810018,Strife Prospect, 
312,MRDS_313,44.904573853199999,-115.331246919999998,10217807, ,0160850527,Sulfide #10,Sulfide #10 Prospect
313,MRDS_314,46.484603524100002,-113.329237007000003,10105541,W007438, ,Sunrise Mine,Queen Mine
314,MRDS_315,46.107663549999998,-113.256177098999999,10105540,W007434, ,Sunshine Mine,"Tungstar Mine, Tarlach Mine"
315,MRDS_316,45.566563475700001,-111.967517471999997,10022654,FS00046, ,Surprise Lode Claim, 
316,MRDS_317,45.066543817000003,-115.100936934000003,10090765,D003209, ,Syringa Claims, 
317,MRDS_318,45.264273771500001,-114.799836955000004,10096376,W015326,0160490486,Ted's Group, 
318,MRDS_319,45.833163808599998,-115.667666675000007,60000023,D001118, ,Tenmile District, 
319,MRDS_320,44.361773924500000,-115.600946969000006,10193322,W014298,0160850008,The Merry Blue Mine,Mary Blue
320,MRDS_321,44.333783833500000,-114.586217168999994,10289747,W018008,0160370001,Thompson Creek Mine,"Thompson Creek Tungsten Mine, Tungsten Jim Mine, Salmon River Scheelite Mine, Nelvinny Nos. 1-4, Tungsten Jim Nos. 1-4, Scheelite Nellie Nos. 1-4"
321,MRDS_322,46.375443506700002,-113.050897086999996,10013617,D010014, ,Thompson Lake Prospect,Ho Claim Group
322,MRDS_323,45.484583585099998,-113.045087265000006,10220712, ,0300010621,Thunderbird, 
323,MRDS_324,45.470683586900002,-113.049187266000004,10197118, ,0300010377,Tiger Group, 
324,MRDS_325,46.111783552799999,-113.286497092000005,10197093, ,0300390309,Tim Third Chance, 
325,MRDS_326,45.046003398200000,-110.576097864999994,10208374, ,0300670051,Tiny Jack, 
326,MRDS_327,46.209053530500000,-113.147007101000000,10070444,W013384, ,Tip Top Mine,"Abbot, Bretz, Farmers Mine, New Year, Emma"
327,MRDS_328,46.138483545800000,-113.237297096000006,10172797, ,0300230028,Tommy Prospect,Cimboca
328,MRDS_329,45.288783661899998,-113.672797173999996,10172340, ,0300010608,Treasure Box Prospect, 
329,MRDS_330,46.161583542499997,-113.228997093999993,10293938,WO07427,0300230023,Trigger Mine, 
330,MRDS_331,45.791763801300000,-115.557866704000006,10143751, ,0160490002,Trout Group, 
331,MRDS_332,45.819063808999999,-115.660366679000006,10011568,D006582,0160490004,Tungstar Mine,"Mullin Mines Inc., Fall Cr. Prospect"
332,MRDS_333,44.366663828699998,-114.566657167000002,10022920,FS00436, ,Tungsten Jim Nos 1-4, 
333,MRDS_334,46.273493517299997,-113.066177104999994,10019431,DC10040, ,Tungsten Mine Prospect,"Silver, Entrepreneur, National Tungsten"
334,MRDS_335,44.707673901800000,-115.673456892000004,10217420, ,0160850156,Tungsten Point,Wilson Cr. Claims
335,MRDS_336,46.291823522700000,-113.138397085999998,10019429,DC10037, ,Twin Peaks Mine, 
336,MRDS_337,46.118773551600000,-113.286177090999999,10013210,D009387, ,Unidentified Occurrence, 
337,MRDS_338,46.306553505799997,-112.984227114999996,10094561,D009385, ,Unidentified Occurrence, 
338,MRDS_339,46.112943553299999,-113.297567088999998,10094562,D009388, ,Unidentified Occurrence, 
339,MRDS_340,46.113483553899997,-113.297797088999999,10123925, ,0300390397,Unknown, 
340,MRDS_341,46.123783551099997,-113.286697089000000,10148914, ,0300390300,Unknown, 
341,MRDS_342,45.504093561300003,-112.808077308999998,10171994, ,0300010740,Unknown, 
342,MRDS_343,45.409293569600003,-112.805877327999994,10135284, ,0300010737,Unnamed, 
343,MRDS_344,45.321283600100003,-113.043677295999998,10220784, ,0300010738,Unnamed, 
344,MRDS_345,46.863183444699999,-112.846997028000004,10270097, ,0300770041,Unnamed Mines, 
345,MRDS_346,45.500993561300000,-112.805277310999998,10293894, ,0300010288,"Unnamed Molybdenum,Tungsten,Garnet", 
346,MRDS_347,45.076803497299998,-111.698337620000004,10197089, ,0300070346,Unnamed Property, 
347,MRDS_348,44.537683725100003,-113.617587323999999,10120957, ,0160590874,Unnamed Prospect,"Prospect, Lemhi Range Rare Ii Area"
348,MRDS_349,44.552383730700001,-113.695087306000005,10242054, ,0160590876,Unnamed Prospect,Prospect
349,MRDS_350,44.263473865800002,-114.871217126999994,10289948, ,0160370388,Unnamed Prospect, 
350,MRDS_351,45.532393558499997,-112.805077304999998,10245173, ,0300010279,Unnamed Tungsten, 
351,MRDS_352,45.314583601700001,-113.059777292999996,10269431, ,0300010283,Unnamed Tungsten, 
352,MRDS_353,45.414293569400002,-112.805277326999999,10123844, ,0300010284,"Unnamed Tungsten,Molybdenum,Garnet", 
353,MRDS_354,45.428493567399997,-112.805277325000006,10147889, ,0300010293,"Unnamed Tungsten,Molybdenum,Garnet", 
354,MRDS_355,45.472393563399997,-112.805077315999995,10171968, ,0300010282,"Unnamed Tungsten,Molybdenum,Garnet", 
355,MRDS_356,45.236783699599997,-114.016707115000003,10070438,W013375,0160590052,U. P. Mine,"Burlington, U. P. and Burlington"
356,MRDS_357,46.390713509000001,-113.087837076000000,10094610,D010012, ,Upper Granite Prospect, 
357,MRDS_358,45.566563475700001,-111.967517471999997,10022653,FS00045, ,Victory Lode Claim, 
358,MRDS_359,45.274083664899997,-113.688697173999998,10290310, ,0160590883,Victory No. 1 Prospect, 
359,MRDS_360,45.038003402100003,-110.612197859000005,10245697, ,0300670093,Vindicator, 
360,MRDS_361,45.461103710600000,-114.341377007999995,10010272,D003864, ,Violet Group, 
361,MRDS_362,45.316553599899997,-113.042547296999999,10094333,D004715, ,Virginia Claim, 
362,MRDS_363,45.482963831200003,-115.611266755000003,10216513, ,0160490917,War Eagle Mine,"Blue Bell Claim, Magnetite, Little Bear Group"
363,MRDS_364,44.985473861400003,-115.496246873000004,10266495, ,0160850161,Warner,"Tungsten Group, Warner Gold"
364,MRDS_365,45.768503526499998,-112.701707279999994,10010820,D004806, ,Warren Prospect, 
365,MRDS_366,45.577993476000003,-111.981647467000002,10197580, ,0300571015,Washington, 
366,MRDS_367,45.042403400399998,-110.602467860000004,10019011,DC08181, ,Watson Mine, 
367,MRDS_368,45.172073833600003,-115.365146863000007,10144801,W015254,0160850025,White Bluff,"Rocket Prospect, Idaho Primitive Area."
368,MRDS_369,45.846553564300002,-113.167567168999994,10019526,DC10749, ,White Cap Mine, 
369,MRDS_370,45.621283478099997,-112.039177445999997,10014503,D011306, ,White Chief Prospect, 
370,MRDS_371,44.279073930499997,-115.585146985999998,10120431,FS00123,0160850056,Whitehawk Basin Placer, 
371,MRDS_372,44.269873930499998,-115.574046989999999,10008758,D001128, ,White Hawk Meadows, 
372,MRDS_373,45.152373839299997,-115.409556858000002,10071478,W014894, ,White Metal Prospect, 
373,MRDS_374,45.567113475799999,-111.967517471999997,10094812,DC12015, ,William Fly Mine,"William Fly, Beaverhead National Forest"
374,MRDS_375,44.346573927599998,-115.614046969000000,10168818, ,0160850012,Wilson Creek,Tungsten Point
375,MRDS_376,45.581293476399999,-111.987247464999996,10197228, ,0300571007,Wilson Mine, 
