OID_,loc_source,source_ID,Tract_name,Area_Name,Name,Name_other,Country,State_Prov,County,Lat_NAD83,Long_NAD83,SiteStatus,Dev_Status,DevStatSo,SiteRank,SiteRankNo,Dep_type,DepTypeSo,I_POLYID,I_Distance,NR_I_LABEL,NR_I_NAME,NR_I_STYL,NR_I_LITH,NR_I_MNAGE,NR_I_MXAGE,SG_I_LAB,SG_I_NAME,SG_I_MJR1,SG_I_MJR2,SG_I_MJR3,SG_I_GNLTH,SG_I_MNAGE,SG_I_MXAGE,I_AGE,C_POLYID,C_Distance,NR_C_LAB,NR_C_NAME,NR_C_AGE,NR_C_LNME2,SG_C_LAB,SG_C_NAME,SG_C_MJR1,SG_C_MJR2,SG_C_MJR3,SG_C_GNLTH,SG_C_MNAGE,SG_C_MXAGE,MRDS_com1,MRDS_com2,MRDS_com3,KLEIN_met,IGS_ComL,MBMG_COM,DMEA_COM,MRDS_ore,MRDS_gangu,MRDS_othr,MRDS_PrRes,KLEIN_MTon,KLEIN_PrYr,SPANSKI_W,SPANSKI_Pr
340,MRDS_308,MBMG_90; MRDS_308,Cretaceous GFTZ,Northern Boulder,Strategic And Tungsten Mine,Arnold; Boulder Ores; Boulder Ores Group; Flagstaff; Friday; Inc. - Helena; Ladysmith; Mont; Montana; Old Lady Smith; Snowshoe Gulch; Strategic,USA,Montana,Powell,46.677693423400001,-112.470887145999995,Site,Past Producer,MRDS,1, ,W Unknown,MRDS,2370,0.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8663,331.000000000000000,Mml,Madison Group,Mississippian,carbonate sedimentary rocks, , , , , , , , ,W, ,"Au, Ag, Cu", , ,"W, Cu, Au", , , , , , , , , 
341,MRDS_309,KLEIN_176; MBMG_87; MRDS_309, , ,Strawberry Keystone Group,Strawberry Keystone Mine and Mill,USA,Montana,Madison,45.663783463900003,-111.936677459999999,Site,Past Producer,MRDS,2, ,Au-W Unknown,MRDS,2657,690.000000000000000, , , , , , ,Kgt;0,Granitic rock,Granitic, , ,"Igneous, intrusive",Phanerozoic - Mesozoic - Cretaceous,Phanerozoic - Mesozoic - Cretaceous,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,"Au, W",Ag, ,"Au, Ag, W", ,"W, Au, Ag, Cu", ,"Pyrite, Scheelite", , , ,34210,1900-1955, , 
342,MRDS_31,IGS_108; MRDS_31, , ,Blue Jay Mine,"Blue Jay Mine; Sterling Silver 1,2,3; Sterling Silver Nos. 1, 2, and 3; Sterling Silver Nos. 1-3 Claims",USA,Idaho,Idaho,45.479563836099999,-115.652666748000001,Site,Past Producer,MRDS,1, ,Au-W Unknown,MRDS,265,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,Au, ,"Pb, Cu, Zn, Ag, Mo, W", ,"Au, Ag, Cu, Pb, Mo, W, Zn", , , , , , , , , , 
343,MRDS_310,MBMG_178; MRDS_310,Cretaceous GFTZ,Philipsburg,Straw Hat Prospect,Straw Hat,USA,Montana,Granite,46.230443525500000,-113.115617103000005,Site,Occurrence,MRDS,2, ,Vein/replacement,MRDS,1863,827.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,9087,254.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,W, , , , ,"W, Cu", ,Scheelite, , ,None, , , , 
344,MRDS_312,MBMG_140; MRDS_312, , ,Strife Prospect, ,USA,Montana,Ravalli,46.471273608200001,-114.167036839000005,Site,Occurrence,MRDS,1, ,W Unknown,MRDS,1657,673.000000000000000,TKgdmy~,"Tertiary-Cretaceous granodiorite, mylonitic",meta-plutonic,"biotite or biotite-muscovite granodiorite, mylonitic",Tertiary,Cretaceous, , , , , , , , ,Tertiary-Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , , , ,W, , , , , , , , , 
345,MRDS_313,IGS_5; MRDS_313,Cretaceous GFTZ,Yellow Pine,Sulfide #10,Sulfide #10 Prospect,USA,Idaho,Valley,44.904573853199999,-115.331246919999998,Site,Past Producer,MRDS,1, ,W Unknown,MRDS,498,7.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1553,1431.000000000000000,CZm,"Gray marble near Cinnabar Peak, Gospel Peak, and Stibnite areas",Cambrian-Late Proterozoic,metamorphosed calcareous rocks, , , , , , , , ,W, ,Cu, ,W, , , , , , , , , , 
346,MRDS_314,KLEIN_177; MBMG_128; MRDS_314,Cretaceous GFTZ,Philipsburg,Sunrise Mine,Queen Mine,USA,Montana,Granite,46.484603524100002,-113.329237007000003,Site,Past Producer,MRDS,2, ,Vein/replacement,MRDS,1700,480.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7527,15.000000000000000,Yhw,"Helena Formation and Wallace Formation, undivided",Middle Proterozoic,metamorphosed carbonate and siliciclastic sedimentary rocks, , , , , , , , ,"Au, Ag, Cu",Pb,W,"Au, Ag, Cu, Pb, W", ,"W, Cu, Au", ,"Bornite, Chalcopyrite, Cuprite, Galena, Scheelite","Calcite, Limonite, Pyrite, Quartz", ,"Au $120,000",36290,1892-1903, , 
347,MRDS_316,MRDS_316, , ,Surprise Lode Claim, ,USA,Montana,Madison,45.566563475700001,-111.967517471999997,Site,Prospect,MRDS,1, ,W Unknown,MRDS,2647,0.000000000000000, , , , , , ,Kgt;0,Granitic rock,Granitic, , ,"Igneous, intrusive",Phanerozoic - Mesozoic - Cretaceous,Phanerozoic - Mesozoic - Cretaceous,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,"Mn, Au, Ag, W, Fe, Cu", , , , , , , , , , , , , , 
348,MRDS_319,MRDS_319; SPANSKI_64, , ,Tenmile District,Tenmile,USA,Idaho,Idaho,45.833163808599998,-115.667666675000007,Site,Occurrence,MRDS,1, ,Au-W Unknown,MRDS,2279,1005.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,"Au, W", , , , , , , , , , , , , , 
349,MRDS_32,MBMG_83; MRDS_32,Cretaceous GFTZ, ,Blue Moon Mine, ,USA,Montana,Granite,46.817383496100000,-113.332016937000006,Prospect,Past Producer,MRDS,4, ,Skarn,MRDS,2616,506.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7185,506.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,W, ,"Cu, Au, Ag", , ,"W, Au, Ag, Cu", , , , , , , , , 
350,MRDS_320,MRDS_320, , ,The Merry Blue Mine,Mary Blue,USA,Idaho,Valley,44.361773924500000,-115.600946969000006,Site,Past Producer,MRDS,1, ,Au-W Unknown,MRDS,805,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,Au, ,"Pb, Cu, W", , , , , , , , , , , , 
351,MRDS_323,MBMG_145; MRDS_323, , ,Thunderbird,Thunderbird Group,USA,Montana,Beaverhead,45.484583585099998,-113.045087265000006,Site,Prospect,MRDS,1, ,Mo-W Unknown,MRDS,308,308.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,"Mo, Ag, W", , , , ,"Ag, W, Mo", , , , , , , , , 
352,MRDS_324,MBMG_149; MRDS_324, , ,Tiger Group, ,USA,Montana,Beaverhead,45.470683586900002,-113.049187266000004,Site,Prospect,MRDS,1, ,W Unknown,MRDS,2606,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,Ag, ,"Cu, Pb, W, Zn", , ,"Ag, Pb, Cu, W, Zn", , , , , , , , , 
353,MRDS_325,MBMG_110; MRDS_325,Cretaceous GFTZ,Philipsburg,Tim Third Chance, ,USA,Montana,Granite,46.111783552799999,-113.286497092000005,Site,Past Producer,MRDS,1, ,W Unknown,MRDS,1987,1433.000000000000000,Kqdt,Cretaceous quartz diorite-tonalite suite,plutonic,"quartz diorite, tonalite, trondhjemite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7813,0.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,Ag, ,"W, Cu", , ,"Ag, W, Cu", , , , , , , , , 
354,MRDS_326,MBMG_183; MRDS_326, , ,Tiny Jack, ,USA,Montana,Park,45.046003398200000,-110.576097864999994,Site,Prospect,MRDS,1, ,W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, ,Au, , ,"W, Au", , , , , , , , , 
355,MRDS_327,DMEA_15; KLEIN_180; MRDS_1; MRDS_327,Cretaceous GFTZ,Philipsburg,Tip Top Mine,Abbot; Abbot Property; Bretz; Emma; Farmers Mine; New Year,USA,Montana,Deer Lodge,46.209053530500000,-113.147007101000000,Site,"Past Producer, Unknown",MRDS,2, ,"Vein/replacement, W Unknown",MRDS,1863,641.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7734,0.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,"Cu, Pb, Ag, W",W,"Sb, Cu","Ag, Cu, Pb, W, Sb", , ,W,"Chalcopyrite, Galena, Malachite, Scheelite, Tetrahedrite","Pyrite, Quartz", ,"7,560 units WO3", ,1895-1905, , 
356,MRDS_328,MBMG_123; MRDS_328,Cretaceous GFTZ,Philipsburg,Tommy Prospect,Cimboca,USA,Montana,Deer Lodge,46.138483545800000,-113.237297096000006,Site,Unknown,MRDS,1, ,Vein/replacement,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7782,0.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,W, , , , ,W, , , , ,None, , , , 
357,MRDS_329,MRDS_329, , ,Treasure Box Prospect, ,USA,Montana,Beaverhead,45.288783661899998,-113.672797173999996,Site,Prospect,MRDS,1, ,Au-W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , ,Au, ,"Ag, Pb, Cu, W", , , , , , , , , , , , 
358,MRDS_33,IGS_55; KLEIN_6; MRDS_33, , ,Bob Moore Creek Prospect, ,USA,Idaho,Lemhi,45.211783698399998,-113.979507127000005,Site,Occurrence,MRDS,2, ,Vein/replacement,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , ,"W, Cu, Pb, Au","Au, Cu, Pb, W","Cu, Au, Pb, W", , ,"Chalcopyrite, Galena, Malachite, Scheelite","Pyrite, Quartz", , , , , , 
359,MRDS_330,KLEIN_182; MBMG_56; MRDS_330,Cretaceous GFTZ,Philipsburg,Trigger Mine,Trigger,USA,Montana,Deer Lodge,46.161583542499997,-113.228997093999993,Site,Past Producer,MRDS,1, ,Vein/replacement,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7783,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,W, , ,W, ,W, , , , ,"4,000 tons ~1%WO3",7260, , , 
360,MRDS_331,IGS_69; MRDS_331,Bitterroot, ,Trout Group, ,USA,Idaho,Idaho,45.791763801300000,-115.557866704000006,Site,Past Producer,MRDS,1, ,W Unknown,MRDS,2282,1196.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7898,1001.000000000000000,PRecfq,"Elk City metamorphic sequence, fine-grained quartzite",Proterozoic,metamorphosed siliciclastic and carbonate sedimentary rocks, , , , , , , , , , ,"W, Ag, Au", ,"Ag, Au, W", , , , , , , , , , 
361,MRDS_334,KLEIN_183; MBMG_60; MRDS_334, , ,Tungsten Mine Prospect,Entrepreneur; National Tungsten; Silver; Tungsten Mines,USA,Montana,Granite,46.273493517299997,-113.066177104999994,Site,Occurrence,MRDS,1, ,Vein-wolframite,MRDS,2520,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W,"Ag, Pb, Mn",Cr,"W, Ag, Cu, Pb", ,W, ,Huebnerite,Quartz, , , , , , 
362,MRDS_335,IGS_27; MRDS_335, , ,Tungsten Point,Wilson Cr. Claims; Wilson Creek Claims,USA,Idaho,Valley,44.707673901800000,-115.673456892000004,Site,Occurrence,MRDS,1, ,W Unknown,MRDS,542,0.000000000000000,Kgdbf~,"Cretaceous meta-granodiorite with biotite, foliated",meta-plutonic,"biotite granodiorite, foliated",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , , ,W, , , , , , , , , , 
363,MRDS_336,MBMG_130; MRDS_336,Cretaceous GFTZ,Philipsburg,Twin Peaks Mine,Twin Peaks Prospect,USA,Montana,Granite,46.291823522700000,-113.138397085999998,Site,Occurrence,MRDS,2, ,W Unknown,MRDS,2618,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7695,103.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,W, ,Mo, , ,"W, Mo", ,"Molybdenite, Powellite, Scheelite", , , , , , , 
364,MRDS_337,KLEIN_185; MRDS_337,Cretaceous GFTZ,Philipsburg,Unidentified Occurrence, ,USA,Montana,Granite,46.118773551600000,-113.286177090999999,Site,Occurrence,MRDS,2, ,Vein/replacement,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7813,36.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,"Ag, Pb","Cu, W, Zn","Sb, Cr","Ag, Pb, Cu, W, Zn", , , ,Scheelite,"Chrysocolla, Malachite, Quartz", , , , , , 
365,MRDS_338,KLEIN_186; MRDS_338,Cretaceous GFTZ,Philipsburg,Unidentified Occurrence, ,USA,Montana,Powell,46.306553505799997,-112.984227114999996,Prospect,Occurrence,MRDS,3, ,Skarn,MRDS,2504,250.000000000000000,Kqdt,Cretaceous quartz diorite-tonalite suite,plutonic,"quartz diorite, tonalite, trondhjemite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8944,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,W,Cu,"Mn, Re, Zn","W, Cu, Zn", , , , ,"Epidote, Pyrrhotite", , , , , , 
366,MRDS_339,KLEIN_184; MRDS_339,Cretaceous GFTZ,Philipsburg,Unidentified Occurrence, ,USA,Montana,Granite,46.112943553299999,-113.297567088999998,Site,Occurrence,MRDS,1, ,Vein/replacement,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7813,0.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,Ag,"Pb, Cu, W",Sb,"Ag, Pb, Cu, W", , , , ,"Malachite, Quartz", , , , , , 
367,MRDS_340,MRDS_340,Cretaceous GFTZ,Philipsburg,Unknown, ,USA,Montana,Granite,46.113483553899997,-113.297797088999999,Site,Prospect,MRDS,1, ,Au-W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7810,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,Au, ,"Ag, Cu, W", , , , , , , , , , , , 
368,MRDS_341,MBMG_39; MRDS_341,Cretaceous GFTZ,Philipsburg,Unknown, ,USA,Montana,Granite,46.123783551099997,-113.286697089000000,Site,Prospect,MRDS,1, ,W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7801,406.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,Ag, ,W, , ,"Ag, W", , , , , , , , , 
369,MRDS_342,MRDS_342,Cretaceous GFTZ,Pioneer,Unknown, ,USA,Montana,Beaverhead,45.504093561300003,-112.808077308999998,Site,Unknown,MRDS,1, ,Au-W Unknown,MRDS,2606,28.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,3524,0.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,Au, ,"Cu, Pb, Ag, W", , , , , , , , , , , , 
370,MRDS_343,MRDS_343,Cretaceous GFTZ,Pioneer,Unnamed, ,USA,Montana,Beaverhead,45.409293569600003,-112.805877327999994,Site,Unknown,MRDS,1, ,W Unknown,MRDS,1266,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,4014,127.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,W, , , , , , , , , , , , , , 
371,MRDS_344,MRDS_344,Cretaceous GFTZ,Pioneer,Unnamed, ,USA,Montana,Beaverhead,45.321283600100003,-113.043677295999998,Site,Unknown,MRDS,1, ,W Unknown,MRDS,2606,159.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1352,0.000000000000000,[PMsrmg,"Snowcrest Range Group and Madison Group, undivided",Pennsylvanian-Mississippian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,W, ,"Au, Ag", , , , , , , , , , , , 
372,MRDS_345,MBMG_139; MRDS_345,Cretaceous GFTZ, ,Unnamed Mines, ,USA,Montana,Powell,46.863183444699999,-112.846997028000004,Site,Unknown,MRDS,1, ,Au-W Unknown,MRDS,2358,0.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8447,68.000000000000000,Yh,Helena Formation,Middle Proterozoic,metamorphosed mixed carbonate/siliciclastic sedimentary rocks, , , , , , , , ,Au, ,W, , ,"Au, W", , , , , , , , , 
373,MRDS_346,MBMG_170; MRDS_346,Cretaceous GFTZ,Pioneer,"Unnamed Molybdenum,Tungsten,Garnet", ,USA,Montana,Beaverhead,45.500993561300000,-112.805277310999998,Site,Occurrence,MRDS,1, ,Mo-W Unknown,MRDS,2606,50.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,3524,0.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,Mo, ,"Garnet, W", , ,"Mo, W, Abrasive", , , , , , , , , 
374,MRDS_347,MBMG_32; MRDS_347, , ,Unnamed Property, ,USA,Montana,Madison,45.076803497299998,-111.698337620000004,Site,Prospect,MRDS,1, ,W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,4729,1309.000000000000000,Asmm,"Wyoming Province, metasedimentary rocks, marble, southwestern Montana",Archean,metamorphosed calcareous rocks, , , , , , , , ,W,Mo, , , ,"W, Mo", , , , , , , , , 
375,MRDS_348,MRDS_348, , ,Unnamed Prospect,Lemhi Range Rare Ii Area; Prospect,USA,Idaho,Lemhi,44.537683725100003,-113.617587323999999,Site,Prospect,MRDS,1, ,W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , ,"Au, W", , , , , , , , , , , , 
376,MRDS_349,MRDS_349, , ,Unnamed Prospect,Prospect,USA,Idaho,Lemhi,44.552383730700001,-113.695087306000005,Site,Prospect,MRDS,1, ,W Unknown,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , ,"Au, W", , , , , , , , , , , , 
377,MRDS_35,KLEIN_82; MBMG_125; MRDS_35,Cretaceous GFTZ,Philipsburg,Bresnahan & Fenner Prospect,Bresnahan and Fenner,USA,Montana,Deer Lodge,46.185483527400002,-113.089797118000007,Site,Unknown,MRDS,2,""scheelite"" mentioned in literature,Vein/replacement,MRDS,1913,1760.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,9087,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,W, , ,"Ag, Cu, Pb, W", ,W, , , , ,None, , , , 
378,MRDS_350,MRDS_350,Cretaceous GFTZ,Thompson Creek,Unnamed Prospect, ,USA,Idaho,Custer,44.263473865800002,-114.871217126999994,Site,Occurrence,MRDS,1, ,W Unknown,MRDS,869,0.000000000000000,Kgdb,Cretaceous granodioritic rocks with biotite,plutonic,"biotite granodiorite, tonalite, monzogranite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2594,617.000000000000000,PzPRcs,Calc-silicate rock roof pendant in Idaho batholith,Permian-Proterozoic,metamorphosed calcareous rocks, , , , , , , , ,W, , , , , , , , , , , , , , 
379,MRDS_351,MBMG_51; MRDS_351,Cretaceous GFTZ,Pioneer,Unnamed Tungsten, ,USA,Montana,Beaverhead,45.532393558499997,-112.805077304999998,Site,Occurrence,MRDS,1, ,W Unknown,MRDS,1248,1820.000000000000000,Kgdb,Cretaceous granodioritic rocks with biotite,plutonic,"biotite granodiorite, tonalite, monzogranite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,3605,0.000000000000000,JTRmd3,"Morrison Formation, Thaynes Formation, Woodside Formation, and Dinwoody Formation, undivided",Jurassic-Triassic,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,W, , , , ,W, , , , , , , , , 
380,MRDS_352,MBMG_52; MRDS_352,Cretaceous GFTZ,Pioneer,Unnamed Tungsten, ,USA,Montana,Beaverhead,45.314583601700001,-113.059777292999996,Site,Occurrence,MRDS,1, ,W Unknown,MRDS,2606,853.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1352,411.000000000000000,[PMsrmg,"Snowcrest Range Group and Madison Group, undivided",Pennsylvanian-Mississippian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,W, , , , ,W, , , , , , , , , 
381,MRDS_353,MBMG_94; MRDS_353,Cretaceous GFTZ,Pioneer,"Unnamed Tungsten,Molybdenum,Garnet", ,USA,Montana,Beaverhead,45.414293569400002,-112.805277326999999,Site,Occurrence,MRDS,1, ,W Unknown,MRDS,1266,87.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,4014,0.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,W, ,"Garnet, Mo", , ,"W, Mo, Abrasive", , , , , , , , , 
