OID_,loc_source,source_ID,Tract_name,Area_Name,Name,Name_other,Country,State_Prov,County,Lat_NAD83,Long_NAD83,SiteStatus,Dev_Status,DevStatSo,SiteRank,SiteRankNo,Dep_type,DepTypeSo,I_POLYID,I_Distance,NR_I_LABEL,NR_I_NAME,NR_I_STYL,NR_I_LITH,NR_I_MNAGE,NR_I_MXAGE,SG_I_LAB,SG_I_NAME,SG_I_MJR1,SG_I_MJR2,SG_I_MJR3,SG_I_GNLTH,SG_I_MNAGE,SG_I_MXAGE,I_AGE,C_POLYID,C_Distance,NR_C_LAB,NR_C_NAME,NR_C_AGE,NR_C_LNME2,SG_C_LAB,SG_C_NAME,SG_C_MJR1,SG_C_MJR2,SG_C_MJR3,SG_C_GNLTH,SG_C_MNAGE,SG_C_MXAGE,MRDS_com1,MRDS_com2,MRDS_com3,KLEIN_met,IGS_ComL,MBMG_COM,DMEA_COM,MRDS_ore,MRDS_gangu,MRDS_othr,MRDS_PrRes,KLEIN_MTon,KLEIN_PrYr,SPANSKI_W,SPANSKI_Pr
10,IGS_114,IGS_114; KLEIN_47; MRDS_265,Cretaceous GFTZ,Yellow Pine,Rocket Prospect,White Bluff,USA,Idaho,Valley,45.170694578499997,-115.363535085999999,Site,Occurrence,MRDS,2, ,W Unknown,MRDS,395,1193.000000000000000,Tmg,Tertiary monzogranite suite,plutonic,"monzogranite, subordinate syenogranite (with biotite + minor hornblende)",Tertiary,Tertiary, , , , , , , , ,Tertiary,1419,48.000000000000000,Zam,Anchor Meadow Formation,Late Proterozoic,metamorphosed calcareous rocks, , , , , , , , ,"W, Cu", , ,"W, Cu","Cu, W", , ,"Covellite, Malachite, Scheelite","Calcite, Hematite, Pyrite, Pyrrhotite, Sericite", , , , , , 
11,IGS_116,IGS_116; SPANSKI_28,Cretaceous GFTZ,Yellow Pine,Moscow Mine,Moore; Moscow,USA,Idaho,Valley,45.099994731499997,-115.405025261999995,Site,Closed/Prospect,SPANSKI,1, ,Distal disseminated Au-Ag,SPANSKI,433,75.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1431,461.000000000000000,Zmr,Missouri Ridge Formation,Late Proterozoic,metamorphosed mixed carbonate/siliciclastic sedimentary rocks, , , , , , , , , , , , ,"Ag, Au, Zn, W, Pb, Sb, Cu", , , , , , , , , ,1500 st
12,IGS_117,IGS_117, , ,Skipper Mine,Red Mountain Prospect,USA,Idaho,Valley,45.004824988300001,-115.455795357000000,Site,"Raw Pros, Exp Pros",IGS,1, , , ,417,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"W, Mo", , , , , , , , , , 
13,IGS_119,IGS_119, , ,Unnamed Location, ,USA,Idaho,Lemhi,45.170633670500003,-114.029657513999993,Site, , ,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,W, , , , , , , , , , 
14,IGS_121,IGS_121,Bitterroot, ,Weitas Creek, ,USA,Idaho,Clearwater,46.557617398900000,-115.440017354000005,Site, , ,1, , , ,1593,472.000000000000000,TKgd,Tertiary-Cretaceous granodioritic rocks,plutonic,granodiorite (ranges from quartz monzonite to monzogranite),Tertiary,Cretaceous, , , , , , , , ,Tertiary-Cretaceous,7482,1448.000000000000000,Ywcs,"Wallace Formation, calc-silicate gneiss",Middle Proterozoic,metamorphosed mixed carbonate/siliciclastic sedimentary rocks, , , , , , , , , , , , ,"W, Au, Ce", , , , , , , , , , 
15,IGS_122,IGS_122,Bitterroot, ,Hemlock Creek, ,USA,Idaho,Clearwater,46.519817238000002,-115.480517946999996,Site, , ,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7517,0.000000000000000,Ywcs,"Wallace Formation, calc-silicate gneiss",Middle Proterozoic,metamorphosed mixed carbonate/siliciclastic sedimentary rocks, , , , , , , , , , , , ,"W, Au", , , , , , , , , , 
16,IGS_123,IGS_123; MRDS_297,Bitterroot, ,Southeast Blacklead Prospect,Southeast Blacklead Mountain Pros.,USA,Idaho,Clearwater,46.626551391800000,-114.844871248999993,Site,Prospect,MRDS,1, ,Au-W Unknown,MRDS,1488,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7371,354.000000000000000,Yshsn,"Shepard Formation and Snowslip Formation, undivided",Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , ,Au, ,"Cu, W, Mill concentrate", ,"Ag, Au, Pb, Hg, Mn, W, Zn", , , , , , , , , , 
17,IGS_124,IGS_124,Bitterroot, ,Bear Gulch Property,Hemler Prospect,USA,Idaho,Clearwater,46.584536337400003,-115.575191638999996,Site,Unknown,IGS,1, , , ,1420,1010.000000000000000,Kqdt,Cretaceous quartz diorite-tonalite suite,plutonic,"quartz diorite, tonalite, trondhjemite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7412,147.000000000000000,Ywcsq,"Wallace Formation, calc-silicate gneiss and quartzite",Middle Proterozoic,metamorphosed mixed carbonate/siliciclastic sedimentary rocks, , , , , , , , , , , , ,W, , , , , , , , , , 
18,IGS_125,IGS_125, , ,Pontiac,Edith Murray; Golconda Group; Johnson Property; Midland; South Mo; South Mountain Mine; Terrible Edith; Texas Claim; Texas Shaft; Texas Tunnel,USA,Idaho,Shoshone,47.634152071300001,-115.826985344999997,Site,Past Producer,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, Ag, Zn, Pb, W, Cu", , , , , , , , , , 
19,IGS_126,IGS_126, , ,King Mine, ,USA,Idaho,Shoshone,47.625611573999997,-115.895637209000000,Site,Developed Deposit,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,6452,491.000000000000000,Ywml,"Wallace Formation, middle and lower members, undivided",Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , , ,"Au, Cu, W, Pb", , , , , , , , , , 
20,IGS_127,IGS_127, , ,Schamel Mine,Gold Circle; Golden Circle; Kings Pass Gold Co. Inc.; Lion; Mountain Lion Mine; Three Queens Mining Corp.,USA,Idaho,Shoshone,47.624061708299998,-115.877876666000006,Site,Past Producer,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,6452,1703.000000000000000,Ywml,"Wallace Formation, middle and lower members, undivided",Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , , ,"Au, Pb, Ag, Zn, W", , , , , , , , , , 
21,IGS_128,IGS_128, , ,Dew Drop,Chester Consolidated Mine,USA,Idaho,Shoshone,47.623142007200002,-115.837515474000000,Site,Developed Deposit,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Pb, U, Cu, W, Au", , , , , , , , , , 
22,IGS_129,IGS_129, , ,Lucky Winnie,Achievement; Crown Point; Flagstaff; Four Square Mine; Friday; Golden Winnie,USA,Idaho,Shoshone,47.625691535599998,-115.900837362000004,Site,Past Producer,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,6460,268.000000000000000,Ywml,"Wallace Formation, middle and lower members, undivided",Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , , ,"Au, Zn, Ag, Cu, Pb, W", , , , , , , , , , 
23,IGS_130,IGS_130, , ,Paymaster,Dora; Golden Chest; Golden Chest Keenan Property; Idaho; Katie Burnett; Katie Dora; Klondike,USA,Idaho,Shoshone,47.616982054099999,-115.832235221000005,Site,Past Producer,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, Sb, Zn, Cu, W, Ag, Pb", , , , , , , , , , 
24,IGS_131,IGS_131, , ,Jenkins Prospect,A and M,USA,Idaho,Shoshone,47.616511558100001,-115.899447172999999,Site,Unknown,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,6460,1170.000000000000000,Ywml,"Wallace Formation, middle and lower members, undivided",Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , , ,"Au, Zn, Pb, Cu, W", , , , , , , , , , 
25,IGS_132,IGS_132, , ,Patricia,Daddy; Meade; Mother Lode Mine; Occident; Treasure; Treasure Box; Yosemite,USA,Idaho,Shoshone,47.616171999899997,-115.839735426000004,Site,Past Producer,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, Cu, Zn, Pb, Ag, As, W", , , , , , , , , , 
26,IGS_133,IGS_133, , ,Gold Coin Mine,Fannie Group,USA,Idaho,Shoshone,47.614011548500002,-115.901147182000003,Site,Unknown,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,6463,1088.000000000000000,Ywml,"Wallace Formation, middle and lower members, undivided",Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , , ,"Au, Cu, W, Pb", , , , , , , , , , 
27,IGS_134,IGS_134, , ,Wakeup Jim Mine,Union,USA,Idaho,Shoshone,47.611511700599998,-115.881146557999998,Site,Unknown,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, Zn, W, Ag, Cu, Pb", , , , , , , , , , 
28,IGS_135,IGS_135, , ,Roberts,Fay Templeton; Kennam Property; Kennan; Old Fay Templeton; Pony Creek Lease; Pony Gulch; Pony Lease,USA,Idaho,Shoshone,47.588751653400003,-115.891666498000006,Site,Past Producer,IGS,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"Au, W, Ag, Pb, Cu", , , , , , , , , , 
29,IGS_14,IGS_14, , ,Whitehawk Mountain, ,USA,Idaho,Valley,44.280629900000001,-115.505186855999995,Site,Raw Pros,IGS,1, , , ,805,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , ,"W, U", , , , , , , , , , 
30,IGS_16,IGS_16,Cretaceous GFTZ,Thompson Creek,Copper Creek Occurrence, ,USA,Idaho,Custer,44.270134332900000,-114.868569133999998,Site,Raw Pros,IGS,1, , , ,869,0.000000000000000,Kgdb,Cretaceous granodioritic rocks with biotite,plutonic,"biotite granodiorite, tonalite, monzogranite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2594,830.000000000000000,PzPRcs,Calc-silicate rock roof pendant in Idaho batholith,Permian-Proterozoic,metamorphosed calcareous rocks, , , , , , , , , , , , ,W, , , , , , , , , , 
