country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID,loc_GroupID,GroupID_location
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10267312,https://mrdata.usgs.gov/mrds,10267312,Maine,EPSG:4326,"",Greenlaw,"Feldspar,Phosphorus-Phosphates,Lithium,Gemstone,Beryllium","Simple pegmatite,NYF pegmatite,Greisen beryllium±Li",GEO,ALL398,ALL398,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10299296,https://mrdata.usgs.gov/mrds,10299296,South Dakota,EPSG:4326,"Century Claim MS 1959,Minerals Survey No. 1959",Mateen,"Tin,Lithium",LCT pegmatite,GEO,ALL402,ALL402,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10027532,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10258983,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009098",https://mrdata.usgs.gov/mrds,"10027532,10258983,10009098",Arizona,EPSG:4326,",Lithia King,Lithia King Mine",Midnight Owl,"Tantalum,Bismuth,Lithium,Beryllium,Feldspar,Lithium,Tantalum,Beryllium,Tantalum,Beryllium,Phosphorus-Phosphates,Feldspar,Lithium","LCT pegmatite,Simple pegmatite,NYF pegmatite,NYF pegmatite,LCT pegmatite,LCT pegmatite,NYF pegmatite,Simple pegmatite",GEO,ALL403,ALL403,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10139340,https://mrdata.usgs.gov/mrds,10139340,California,EPSG:4326,"",Red Ampitheater ralized Zone,"Strontium,Boron-Borates,Lithium","Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine evaporite borate",GEO,ALL404,ALL404,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10026967,https://mrdata.usgs.gov/mrds,10026967,Arizona,EPSG:4326,"Herrera,Dos Hermanos",Abril,"Asbestos,Zinc,Lithium,Gold,Tungsten,Cadmium,Beryllium,Gallium,Lead,Silver,Wollastonite,Bismuth,Molybdenum,pper",Replacement copper,GEO,ALL406,ALL406,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10296809,https://mrdata.usgs.gov/mrds,10296809,North Carolina,EPSG:4326,"Blue Ridge Tin Corporation Mine,Mountain Mine",Kings Mountain,"Lithium,Tin","Greisen tin ±W-Mo,LCT pegmatite",GEO,ALL407,ALL407,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10162111,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10102521",https://mrdata.usgs.gov/mrds,"10102521,10162111",Arizona,EPSG:4326,",Starlight,Buena Vista,Monster,Homestead,Anderson Pegmatites","Buena Vista,Picacho View","Tantalum,Zinc,Molybdenum,Beryllium,Feldspar,rare earth elements,Gold,Lead,Lithium,Tantalum,Tungsten,Beryllium,Mica,Feldspar,Lithium","LCT pegmatite,NYF pegmatite,Simple pegmatite,LCT pegmatite,NYF pegmatite,Simple pegmatite,Greisen beryllium±Li",GEO,ALL409,ALL409,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400503,https://mrdata.usgs.gov/mrds,10400503,Utah,EPSG:4326,"Taurus,Fluoro,Blue Chalk,Topaz Mountain,Sigma Emma,Claybank,Hogsback,Rainbow,Roadside,North End",Spor Mountain,"Manganese,Zinc,Uranium,Beryllium,Lithium,Fluorine-Fluorite","Epithermal beryllium,Skarn beryllium- fluorite",GEO,ALL411,ALL411,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078590,https://mrdata.usgs.gov/mrds,10078590,North Carolina,EPSG:4326,"",Kizer-Mauney Tin,"Lithium,Tin,Quartz,Feldspar","Greisen tin ±W-Mo,Residual placer tin",GEO,ALL412,ALL412,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10243373,https://mrdata.usgs.gov/mrds,10243373,Massachusetts,EPSG:4326,"",Fitchburg Area,"Lithium,Tin","Simple pegmatite,NYF pegmatite,LCT pegmatite",GEO,ALL416,ALL416,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02cc14e11b85a86aa4fd59ee2a79a11d5f3dcfba170fabc0c40ad8bfc66862ffe9,https://api.cdr.land/v1/docs/documents,02cc14e11b85a86aa4fd59ee2a79a11d5f3dcfba170fabc0c40ad8bfc66862ffe9,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"Collapse breccia pipe uranium,lithium claystone,Lacustrine clay lithium,Carlin-type gold,Lacustrine brine lithium,MVT zinc-lead",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__020b610adbce4cf097c7f614845a2e8eb93fe21b172b504ba182230b4d1bc2ab88,https://api.cdr.land/v1/docs/documents,020b610adbce4cf097c7f614845a2e8eb93fe21b172b504ba182230b4d1bc2ab88,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"Lacustrine zeolite (± Li, B),Lacustrine clay lithium,Hypozonal orogenic gold,continental brines,pegmatites,Lacustrine brine lithium,clays,Fluvial placer gold",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
