GroupID,country,state_or_province,location,site_name,distance
GROUP4849,United States,Montana,POINT (-112.04114 45.56657),Granite Mtn.,4.092485525967819
GROUP3496,United States,Utah,POINT (-112.78519 38.34137),Garnet No 1 Claim,4.093192044095009
GROUP3077,United States,California,POINT (-115.39723 35.25941),Tungsten King Mine,4.125274050780761
GROUP2100,United States,Colorado,POINT (-105.56725 38.75),"Guffey District, West",4.136864046919967
GROUP56,China,"",POINT(113.60000 27.08333),Xiangdong,4.176452793419014
GROUP60,China,"",POINT (114.33272 25.58248),Piaotang Tungsten Mine,4.1912717363343335
GROUP1446,United States,California,POINT (-115.50083 35.06668),Pat Claims,4.1923345781672
GROUP60,China,"",POINT(114.40000 25.50000),Piaotang,4.192378660464432
GROUP1591,United States,Nevada,POINT (-114.85147 39.93603),Chance Mine,4.20867745423603
GROUP4806,United States,California,POINT (-120.1788 38.47071),Green Tail Claims,4.274662317479726
GROUP4806,United States,California,POINT (-120.25548 38.45953),Green Tail Claims,4.274688620432094
GROUP3208,United States,Arizona,POINT (-110.1151 32.06706),Unnamed Prospect,4.28150638455976
GROUP458,Portugal,Porto,POINT (-8.16481 41.66594),"Borralha Deposits,Borralha",4.297745574836501
GROUP5376,United States,Alaska,POINT (-144.80292 65.48307),Ketchem Creek,4.359220692431793
GROUP2248,United States,Alaska,POINT (-145.25294 65.49973),Mammoth Creek,4.385066613502553
GROUP5937,United States,Colorado,POINT (-106.48894 38.69222),Tungsten Shaft,4.386035068151662
GROUP5937,United States,Colorado,POINT (-106.48894 38.66333),Complex,4.3968794225690795
GROUP3873,United States,Nevada,POINT (-117.80594 38.52493),Cedar Chest Prospect,4.403438626473566
GROUP2488,United States,Idaho,POINT (-113.7112 44.53739),"General Electric-Miller Mine,Miller Mine",4.408350128786891
GROUP3612,United States,Montana,POINT (-111.89975 45.59601),Independent,4.411345956864957
GROUP3612,United States,Montana,POINT (-111.97866 45.5738),Independent Mine,4.411428445890359
GROUP1971,United States,Alaska,POINT (-147.56895 65.00817),Silver Fox,4.440608462858896
GROUP2104,United States,Alaska,POINT (-165.46994 64.56595),Jorgensen,4.451007962019956
ALL173,Austria,"",POINT(12.48333 47.20000),Mittersill; Ferbertal,4.485666326878491
GROUP3077,United States,California,POINT (-115.40083 35.25001),Tungsten King Group,4.522723309138534
GROUP3208,United States,Arizona,POINT (-110.11733 32.06734),Unnamed Prospect,4.529521711936322
GROUP1672,United States,Montana,POINT (-111.64776 46.4357),Spokane Hills Mill,4.533431211875888
GROUP1672,United States,Montana,POINT (-111.72087 46.5335),Spokane Hills Mine,4.53485960197802
GROUP474,Mexico,"",POINT(-101.63333 18.88333),Inguaran,4.5541737222356575
GROUP6186,United States,Colorado,POINT (-105.46002 38.63861),Venture No. 1 Claim,4.580891277774654
GROUP6186,United States,Colorado,POINT (-105.54169 38.67944),Charlene No. 1 Claim,4.581097744362418
GROUP6688,Thailand,Phrae,POINT (99.84982 18.13313),Doi Tham Ngoam,4.596781027884677
GROUP6688,Thailand,"",POINT (99.84982 18.61645),"Doi Ngoem W,Dio Ngoem",4.596781027884677
GROUP2849,United States,Alaska,POINT (-144.89299 63.17187),Chistochina River,4.599496742117763
GROUP5905,United States,Washington,POINT (-118.25111 48.24985),Silver Leaf Mine,4.599615624056674
GROUP2849,United States,Alaska,POINT (-144.96936 63.133),Chistochina River,4.599814955190764
GROUP4991,United States,Arizona,POINT (-111.58403 31.91679),Big Juanita Mine,4.602319118798416
GROUP4991,United States,Arizona,POINT (-111.6668 31.91342),Big Juanita Mine Group,4.602321006341418
GROUP52,China,"",POINT(103.06667 23.26667),Bai Sha Po,4.622520862479109
GROUP52,China,Yunnan,POINT (103.14972 23.24934),Bai Sha Po Mine,4.622553011856862
GROUP325,Bolivia,"",POINT (-66.96615 -17.19767),Mercedes Mine,4.632936618644519
GROUP325,Bolivia,"",POINT (-67.04948 -17.19767),Mercedes,4.632936618647348
GROUP6315,Tajikistan,"",POINT (69.50075 40.49823),Yubileinoye,4.640885056933913
GROUP3473,United States,Alaska,POINT (-149.75306 65.36064),Quail Creek,4.640936584071782
GROUP3473,United States,Alaska,POINT (-149.83639 65.36631),Quail Creek,4.640943354269554
GROUP5216,United States,Alaska,POINT (-151.25336 67.41634),Rye Creek,4.682643393701961
GROUP5216,United States,Alaska,POINT (-151.33696 67.40467),"Rye Creek,Eagle Gulch",4.6826710233427695
GROUP6315,Tajikistan,"",POINT(69.50000 40.50000),Yubileinoe,4.693102427897314
GROUP2429,United States,California,POINT (-118.64124 37.30664),Basin Mountain,4.712581407183277
GROUP2429,United States,California,POINT (-118.71762 37.38327),Mountain Basin,4.713662198252796
GROUP641,Brazil,Rio Grande do Norte,POINT (-36.58221 -6.31472),Brejui,4.752499023123485
GROUP641,Brazil,Rio Grande do Norte,POINT (-36.51558 -6.24805),Brejui,4.753303144345506
GROUP6294,France,"",POINT(-1.18333 48.33333),Montbelleux,4.761538516291375
GROUP6294,France,"",POINT (-1.11452 48.28233),Montbelleux Mine,4.761558842371574
GROUP5918,United States,Arizona,POINT (-109.42286 32.18901),Silver Bell Prospect,4.79080036115379
GROUP5918,United States,Arizona,POINT (-109.50895 32.20012),Silver Bell Claims,4.790819160036542
GROUP1715,United States,Nevada,POINT (-115.53231 41.87518),Unknown,4.803970796416904
GROUP1715,United States,Nevada,POINT (-115.6187 41.87907),Unknown,4.803973654774283
GROUP1468,United States,Nevada,POINT (-118.2343 40.33322),Allied Tungsten Inc.,4.8064407477332916
GROUP4268,United States,Nevada,POINT (-118.38624 39.01408),Rawhide Deposit,4.8223048997665705
GROUP4268,United States,Nevada,POINT (-118.38624 39.01408),Rawhide Mine,4.8223048997665705
GROUP1971,United States,Alaska,POINT (-147.57235 65.00967),Silver Fox Mine,4.844008594928602
GROUP4948,United States,Utah,POINT (-112.77273 38.36941),Major Fault Group,4.849070669169904
GROUP4948,United States,Utah,POINT (-112.85607 38.30303),Major Fault Tungsten,4.849800737319797
GROUP1459,United States,California,POINT (-118.83012 37.57355),Laurel Creek,4.868350022301803
GROUP1459,United States,California,POINT (-118.91762 37.5666),Laurel Creek,4.868359924752496
GROUP1459,United States,California,POINT (-118.91762 37.5666),Laurel Creek,4.868359924752496
ALL173,Austria,"",POINT (12.4666666666667 47.2),Mittersill,4.9053069032584435
GROUP2285,United States,Montana,POINT (-112.35921 46.01379),Birdie Mine,4.91384504568076
GROUP2285,United States,Montana,POINT (-112.44758 46.0177),Birdie,4.913847658921615
GROUP1961,United States,Nevada,POINT (-114.19256 40.32273),Epidote,4.933338722984014
GROUP1961,United States,Nevada,POINT (-114.27947 40.2791),Epidote Claim,4.933677317673994
GROUP5937,United States,Colorado,POINT (-106.48371 38.6881),Complex,4.956496323400737
GROUP5094,United States,Nevada,POINT (-118.34625 38.25353),Marietta,4.988734675123162
GROUP5094,United States,Nevada,POINT (-118.43425 38.21663),Marietta District,4.989005673642072
GROUP3052,United States,Nevada,POINT (-114.34528 38.79689),Usbm Sample Locality #134,5.010549227982013
GROUP925,United States,Alaska,POINT (150.69 61.89),Kahiltna River,5.042184719208773
GROUP6174,United States,Alaska,POINT (-150.69273 61.88953),Kahiltna River,5.042456860424804
GROUP2199,United States,Nevada,POINT (-115.65652 41.776),Little Joe,5.0542662663034825
GROUP2595,United States,Arizona,POINT (-113.45658 34.78813),"Wothree,Williams Tungsten",5.1598652371072005
GROUP3323,United States,Nevada,POINT (-114.3489 38.79856),Usbm Sample Locality #133,5.1734104072168
GROUP1635,United States,Colorado,POINT (-105.49059 39.97777),Unknown,5.182369491437266
GROUP1635,United States,Colorado,POINT (-105.39726 39.98332),Unknown,5.200125374519982
GROUP225,Bolivia,"",POINT (-66.27584 -21.66699),Pueblo Viejo Mine,5.2189460168919535
GROUP225,Bolivia,"",POINT (-66.18278 -21.69755),Pueblo Viejo,5.219111718020134
GROUP1719,United States,Alaska,POINT (-150.01978 65.45654),Little Minook Creek,5.259637782294642
GROUP1945,United States,Alaska,POINT (-145.3902 63.16636),Gunn Creek,5.328461061743483
GROUP1945,United States,Alaska,POINT (-145.48604 63.16633),Gunn Creek,5.328461061944651
GROUP2026,United States,Alaska,POINT (-165.70049 64.68098),Oregon Creek,5.372315884374542
GROUP2128,United States,Nevada,POINT (-119.46071 38.75269),High Jacks,5.375716660289748
GROUP2128,United States,Nevada,POINT (-119.55739 38.75551),High Jacksprospect,5.375718314054577
GROUP3339,United States,Alaska,POINT (-149.08594 60.99955),California Creek,5.3962538933269295
GROUP3339,United States,Alaska,POINT (-149.18262 61.00954),California Creek,5.396275133015265
GROUP474,Mexico,"",POINT (-101.64121 18.88148),Inguaran,5.430557377577127
GROUP1635,United States,Colorado,POINT (-105.49281 39.99388),Unknown,5.431176950974249
GROUP2193,United States,Alaska,POINT (-165.60329 64.69928),Nugget Creek,5.452950553031982
GROUP2193,United States,Alaska,POINT (-165.69909 64.67758),Nugget Creek,5.453004131360509
GROUP1881,United States,Alaska,POINT (-146.40295 65.31637),Sourdough Creek,5.462079557930201
GROUP6150,United States,Alaska,POINT (-165.4366 64.58261),Divining Creek,5.472270279093935
GROUP1635,United States,Colorado,POINT (-105.49226 39.94749),Unknown,5.477760827341466
GROUP4793,United States,Nevada,POINT (-114.13307 39.66772),Granite Claims,5.489511882804366
GROUP4793,United States,Nevada,POINT (-114.23168 39.67994),Silica Claim,5.489538922564718
GROUP2199,United States,Nevada,POINT (-115.65203 41.79046),Little Joe,5.534619357307607
GROUP6293,France,"",POINT(1.28333 42.78333),Salau,5.539215419750241
GROUP6293,France,"",POINT (1.18526 42.76576),Salau Mine,5.539218594801016
GROUP6439,Russia,"",POINT (112.76594 50.11457),Medzheginsky I,5.559746332227591
GROUP6439,Russia,"",POINT (112.66594 50.11457),Medzheginsky Ii,5.559746332227591
GROUP1344,United States,Alaska,POINT (-162.24627 64.88136),Unnamed (tributary to Clear Creek),5.579484493524953
GROUP1344,United States,Alaska,POINT (-162.346625 64.881295),Unnamed (tributaries to Clear Creek),5.579484494121616
GROUP134,Bolivia,"",POINT(-67.63333 -16.86667),Viloco,5.608206422960666
GROUP2084,United States,Colorado,POINT (-105.415 40.00472),Blue Jay,5.611038781911745
GROUP2026,United States,Alaska,POINT (-165.60329 64.69928),Oregon Creek,5.614423354852397
ALL91,Kazakhstan,"",POINT (74.03402 47.98125),Akchatau,5.624266190215591
ALL91,Kazakhstan,"",POINT (74.03399 47.98122),Akchatau,5.627455347045547
GROUP1939,United States,Utah,POINT (-112.78162 38.43469),Bismuth Mine,5.645572929112034
GROUP1939,United States,Utah,POINT (-112.87552 38.33497),Two R's Mine,5.647168063991351
GROUP3822,United States,California,POINT (-118.49532 35.72308),Pala Ranch Mine,5.748036747067614
GROUP3822,United States,California,POINT (-118.5987 35.72554),Pala Ranch Mine,5.74803797951069
GROUP484,Mexico,Baja California Sur,POINT (-109.7506 23.50042),Santiago,5.776972289497175
GROUP484,Mexico,Baja California Sur,POINT (-109.85061 23.4171),Santiago,5.778005454386752
GROUP6546,Australia,Tasmania,POINT (143.99855 -40.07939),King Island Mines,5.780288747886777
GROUP2445,United States,Arizona,POINT (-113.83829 34.81475),Farley-Vanlee Prospect,5.796499391304468
GROUP2445,United States,Arizona,POINT (-113.94249 34.80613),Farley-Vanlee,5.79651273311629
GROUP4192,United States,Alaska,POINT (-158.21984 62.07438),"Donlin Bench,Donlin Creek",5.807429831354672
GROUP3873,United States,Nevada,POINT (-117.81904 38.53463),Cedar Chest,5.8139715687135
GROUP4192,United States,Alaska,POINT (-158.2199 62.07438),"Donlin Creek,Donlin Bench",5.814010693408344
GROUP4313,United States,Colorado,POINT (-105.40694 40.00206),"Luckie 2, Smith,Luckie No. 2",5.904809269543639
GROUP2488,United States,Idaho,POINT (-113.7248 44.55049),Prospect,5.914656181535278
GROUP134,Bolivia,"",POINT (-67.63561 -16.87268),Viloco Mine,5.955086584826812
GROUP5290,United States,Utah,POINT (-112.90781 38.31606),Strategic Metals,5.993339891535384
GROUP2488,United States,Idaho,POINT (-113.6176 44.53769),"Prospect,Unnamed Prospect",6.019194994724395
GROUP907,United States,Alaska,POINT (164.297 64.679),Solomon River,6.021505453709723
GROUP907,United States,Alaska,POINT (164.384 64.612),Solomon River (lower),6.021960141221862
GROUP1926,United States,Colorado,POINT (-105.37169 40.01529),Gold Coin,6.0535392432734305
GROUP1926,United States,Colorado,POINT (-105.48 39.97333),"Vasco No. 8, Barker No. 1,2,4",6.0537571208617456
GROUP2797,United States,California,POINT (-116.03503 32.67477),Unnamed Prospect,6.084437639698226
GROUP2797,United States,California,POINT (-116.03416 32.67563),Unnamed Prospect,6.180031015778361
ALL173,Austria,Salzburg,POINT (12.48542 47.29876),Mittersill Mine,6.2390936263381
GROUP2340,United States,Nevada,POINT (-116.67652 39.77632),Grass Valley,6.286311471316966
GROUP2340,United States,Nevada,POINT (-116.78425 39.69992),Grass Valley,6.287395338069232
GROUP724,United States,Nevada,POINT (-117.9708 38.3769),Pilot Mountains Mining District,6.289905854205646
GROUP6327,Uzbekistan,"",POINT (65.88415 40.28157),Lyangar,6.3256288506886085
GROUP3405,United States,Colorado,POINT (-105.41528 40.00778),"June, Evening Post [these should be split into 2 site records]",6.39882185841231
