ms_uri,source_id,record_id,country,state_or_province,crs,other_names,site_name,commodity,deposit_type,longitude,latitude,location,GroupID_location,link_method,GroupID_text
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279774,https://mrdata.usgs.gov/mrds,10279774,"","",EPSG:4326,"",6,"","Black shale nickel ± Mo- PGE,Laterite nickel,Vein ± replacement nickel",97.19989,17.23318,POINT (97.1998899999999821 17.2331800000000008),288,GEO,https://mrdata.usgs.gov/mrds1783
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038194,https://mrdata.usgs.gov/mrds,10038194,Denmark,"",EPSG:4326,"",Angmalortoq Pluton,",pper,","Anorthosite conduit nickel- copper-PGE,Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE",-44.11052,60.35819,POINT (-44.1105199999999940 60.3581900000000076),0,GEO,https://mrdata.usgs.gov/mrds1855
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038769,https://mrdata.usgs.gov/mrds,10038769,Canada,Ontario,EPSG:4326,"",Strathy Township,"Gold,,,,,,pper,Silver","Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein ± replacement nickel",-79.83306,47.08555,POINT (-79.8330600000000032 47.0855499999999907),706,GEO,https://mrdata.usgs.gov/mrds2304
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022803,https://mrdata.usgs.gov/mrds,10022803,United States,Montana,EPSG:4326,"",Montreal Star,",,pper,,Silver,balt,Gold,,,,","Vein five-element,Vein polymetallic",-112.46339,46.12212,POINT (-112.4633900000000040 46.1221200000000024),3494,GEO,https://mrdata.usgs.gov/mrds3293
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280005,https://mrdata.usgs.gov/mrds,10280005,Russia,"",EPSG:4326,"",Sinar,"","Black shale nickel ± Mo- PGE,Laterite nickel,Vein ± replacement nickel",60.33469,56.29789,POINT (60.3346899999999948 56.2978900000000024),416,GEO,https://mrdata.usgs.gov/mrds1151
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10278641,https://mrdata.usgs.gov/mrds,10278641,Canada,Manitoba,EPSG:4326,Birchtree Mine,Birchtree,"Silver,balt, elements,,,,,Gold,pper","Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",-97.93078,55.70397,POINT (-97.9307799999999986 55.7039699999999982),592,GEO,https://mrdata.usgs.gov/mrds814
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10111268,https://mrdata.usgs.gov/mrds,10111268,United States,Wyoming,EPSG:4326,"Pioneer Carissa Gold Mines,Pioneer Carisso Gold Mine,Pioneer Carissa Gold Mine,Inc",Carissa,"Gold,,","",-108.79378,42.47411,POINT (-108.7937799999999839 42.4741100000000031),3485,GEO,https://mrdata.usgs.gov/mrds3284
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048505,https://mrdata.usgs.gov/mrds,10048505,United States,Montana,EPSG:4326,"",Crescent,"Silver,balt,,,,pper,, elements,Gold","U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",-110.02024,45.38575,POINT (-110.0202400000000011 45.3857500000000016),522,GEO,https://mrdata.usgs.gov/mrds10
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096777,https://mrdata.usgs.gov/mrds,10096777,United States,Alaska,EPSG:4326,"",Glacier Lake,"Gold,Silver,,pper","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE",-145.66356,63.35244,POINT (-145.6635599999999897 63.3524400000000085),413,GEO,https://mrdata.usgs.gov/mrds963
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182888,https://mrdata.usgs.gov/mrds,10182888,Brazil,"",EPSG:4326,"No Alternative Names,San Joao Do Piaui",San Joao Do Piaui,"",Laterite nickel,-42.24897,-8.33126,POINT (-42.2489699999999928 -8.3312600000000003),71,GEO,https://mrdata.usgs.gov/mrds728
