ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_site69ee518ecb37117eb0ee2bbdeea9987291dd816e409cb982fddc1900f9a3de1b,MRDS,10067840,Cherry Creek,United States,Montana,POINT (-111.73418 45.11658),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site0b140b3e2656429c83bab7de5b26f6f9cedaa047ecd6271ca080087cb31feb56,MRDS,10104680,Condor,Chile,,POINT (-71.20093 -30.23385),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site4277c57943e7a6dbd0b68dc7fffb6849790ee8dc7e459c1efb60d51db36d0bab,MRDS,10156471,Mt Jacob,United States,Washington,POINT (-118.06332 48.56425),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site184c15f89c71b4a4384c8a46d17bd3f288eaac774e8bf7feaca0141a02976649,MRDS,10087927,Black King Mine,United States,Colorado,POINT (-108.06537 38.03111),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site87bedf705dcdde536fba27387c569922b13fbc297fcb4ab293f90ce81572989e,MRDS,10111580,Upper Kanuti River,United States,Alaska,POINT (-150.74491 66.40105),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitedfac0154184aa12992f89600c4d09105a887e63f89f9ad587dfaa06bb71a55f9,MRDS,10185207,Unnamed Occurrence,United States,Alaska,POINT (-144.66155 68.13313),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site8b86deddda043045493650da5cdfd883f57023dcdf87535b4282f77750e23bf6,MRDS,10043121,Copper City Prospects,United States,Oregon,POINT (-124.05061 42.40232),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site26a42dd56da2128a38ac70f28e942869e152308bc81f9eb68fd49540801cd5d2,MRDS,10109505,Dolphin Mine,United States,Washington,POINT (-120.97924 47.44482),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site91c2840380f8be1921d9dc2f14b0ad5e0af90cc1bb6b38102b9a5fe96c07ce8b,MRDS,10002215,Unnamed (near Mt. Barnard),United States,Alaska,POINT (-136.90213 59.08972),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef869d768053d78c0529403a7d0bd58982a070f06175d5ec03d962deda4ac3805,MRDS,10245815,Boulder-Cobalt Mine,United States,Montana,POINT (-112.12227 45.603),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site37e990f324189d50e1b31f486c403a95ca65d46ff5e0c599568a4e47b2b053b2,MRDS,10009427,Laura Mae Claims,United States,Utah,POINT (-112.36745 38.41664),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site4849fd456284cb032391b276d3b5f3099d40719ed3f2b94033f2811678cc1bc0,MRDS,10290489,Golden Bear No. 2,United States,Idaho,POINT (-115.13016 45.17878),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site6c2416caea43630c4ddc979072df0385e569af34f669aa753bc0e5e6e5d51065,MRDS,10085887,Upper Seimchan,Russia,Magadanskaya Oblast',POINT (152.4973 62.71501),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_siteb4f650448448e734de281b5de1afde726059efe5614b9ce19a63ce7329a9602e,MRDS,10005867,Lago Poopo,Bolivia,Oruro,POINT (-66.99947 -18.99761),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitefd6d8a263a4c386058a3599a3cd849291e4232e65a8fd06a3fc22bbf268a0219,MRDS,10255743,Springszn,South Africa,,POINT (28.46815 -26.2133),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site0af55a5e9618d6e1e923b322226af97a0c6dc4d567542628b927832d21f94dd0,MRDS,10255830,Zhongtiaoshan Copper Mine,China,Shanxi [Shansi],POINT (111.64943 35.31518),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site0f1ffbe55e7045a8cd284ae84356b8e8b2da851d2439f179bd1fc381fc1f59e2,MRDS,10028820,Casey & Bach Claim,United States,California,POINT (-120.69879 38.29713),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site3afd63b0c95d5d72bab09bd877b5a4395db213da1131ee5b24b6325f7cd66439,MRDS,10094088,Omar,United States,Alaska,POINT (-160.8836 67.48946),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site40c02e6fe5af2310581ad1bcbd9072894b6e1409c950433c5130e2a254a41e1a,MRDS,10159056,Huaning Cobalt Deposit,China,Yunnan,POINT (102.49974 24.49924),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site833b290d6817c34999de75ae001f802d549cccab58b369bbfea773e3dc3d0bcb,MRDS,10110429,Jacuba Cobalt Deposits - Brazil,Brazil,Goias,POINT (-48.64899 -27.63069),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site39089421b9dc612b8a731eed93b50ab68e35b808a4651345c7d58f4553a772f5,MRDS,10307342,Luna,United States,Alaska,POINT (-149.16335 67.75972),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec339130d7dcdf845d07f07caa907ac30d5fa0afbd38def97ca3cf80650c66a13,MRDS,10155519,Manganese Workings No. 3,United States,Virginia,POINT (-81.03791 36.89837),EPSG:4326,cobalt
