ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site248ecbc18470ed11e1f93401883b785b7e98a3fa2e35019594a033ec505f44f2,Magnetic Ridge,,Washington,"POINT (-121.05058, 47.42702)",3424.0
https://minmod.isi.edu/resource/mineral_sited82995c0fa01cd6d3ee3dce0526a2f21d32559f4a8c3b38bb38fb7c16de8ea68,Butte Mining District,,Montana,"POINT (-112.523, 46.023)",3333.0
https://minmod.isi.edu/resource/mineral_sitef10d8ab2dcf160716264f68eaaefbcf8156e592e527a5c12ef61ce9281204f37,Bluebird Cr-Pt,,Montana,"POINT (-109.96523, 45.38575)",3488.0
https://minmod.isi.edu/resource/mineral_sited3779fe8011a9e5f76f102fad99796c6efda7c2c6ee1a003c0e2f1e86b12d926,United Nickel Group,,Nevada,"POINT (-114.14251, 36.62439)",3471.0
https://minmod.isi.edu/resource/mineral_site1e5d5cf9e0eb635033797c810b8c6c34eb1ce7478aee072babcd75878cea4d00,Mount Edwards,,Western Australia,"POINT (121.53249, -31.46278)",3473.0
https://minmod.isi.edu/resource/mineral_siteeca73315061f2a6955faf033eb144e4a5f54b2cc5b6bb5c4a913c495bb72a26f,Redstone Nickel Mine,,Ontario,"POINT (-81.19978, 48.00001)",3475.0
https://minmod.isi.edu/resource/mineral_site5b6083d3e312ce6f95877dda561d23e9e1cc57247799f983b1597ae77803ee61,Redeco,,Quebec,"POINT (-79.03302, 48.91666)",3478.0
https://minmod.isi.edu/resource/mineral_site93402dd667e1df51b6a8aeb215345d220955fd279ef9559ef648baf1521c2b6c,Unnamed (near Heart Mtn),,Alaska,"POINT (-152.08085, 62.88853)",3481.0
https://minmod.isi.edu/resource/mineral_site154341d5d71a0f8616926103b8053e35d10beacecd95f271eaf2914ed52d77bc,Port Colborne,,Ontario,"POINT (-84.99991, 50.00002)",3482.0
https://minmod.isi.edu/resource/mineral_sitec553dc4781ef2584073416453e75e1651222a3adc6b677c2880d2e2366a17e6e,Leinster Agnew Mine,,Western Australia,"POINT (120.69924, -27.46295)",3484.0
https://minmod.isi.edu/resource/mineral_sitea122582bed4deb43910a9d34f5f58e1a10a43274330eb432447d8d7f942e1ee4,Canala-Bogota Mining District,,Territory of New Caledonia and Dependencies,"POINT (166.19852, -21.51361)",3489.0
https://minmod.isi.edu/resource/mineral_sitef84e340985373921fc5172b4b603cf75e973ac013e88b5d21ac01e6c314b8f18,Plateau Cajabanes Nickel - Cobalt District,,Pinar Del Rio,"POINT (-83.99991, 22.00054)",3426.0
https://minmod.isi.edu/resource/mineral_sitea2a8ebc5ef4a326b771570e04e0b357367933e32835790fb8194167c24de2abf,Unnamed Mn-Co Occurrence,,La Vega,"POINT (-70.38762, 18.96425)",3492.0
https://minmod.isi.edu/resource/mineral_siteb91ca1d5a23ca04cd729601f0f084ae55c42e812d9acce2db24a32c8c3b99184,Morro Sem Bone,,Mato Grosso,"POINT (-60.29933, -13.19779)",3493.0
https://minmod.isi.edu/resource/mineral_site14a4095d986d2918cfdf65af36037d6b9ee8d8eec15162031bee5ec0d3ded6dd,Argentum Mining Co.,,Nevada,"POINT (-118.08372, 38.15687)",3495.0
https://minmod.isi.edu/resource/mineral_site55d532235b25c297f68485eed7fda2dc69cc775c5402576eae6d1adece3b448c,NI 43-101 Technical Report for the Sunrise Project in Australasia dated June 2018,,New South Wales,"MULTIPOINT(539656.544 -33.399150, 539707.433 -33.385743)",3501.0
https://minmod.isi.edu/resource/mineral_site18e7122409ea4a003b0aa82a7b334698385ccd30c4b0952ee8243d6e3c9e2589,Chanchelulla Peak,,California,"POINT (-122.985, 40.45374)",3505.0
https://minmod.isi.edu/resource/mineral_site1507ea80618c98ee33f10dbe332ab3c6a21da3f8471aee3e938500acc48276a0,Areal Nickel Deposit-Brazil,,Rio De Janeiro,"POINT (-42.9989, -22.99739)",3510.0
https://minmod.isi.edu/resource/mineral_sitec16b59f7a36975ebdc415c47f73a0078816d16f044e091031e7c613034ff5427,Initial Cr-Pt,,Montana,"POINT (-109.94635, 45.38659)",3511.0
https://minmod.isi.edu/resource/mineral_siteeaf7dfc49ea224edacf04c12873b4c733e736e5f861475d161402a7e5fbd95e0,Ora Banda,,Western Australia,"POINT (121.06591, -30.44611)",3470.0
https://minmod.isi.edu/resource/mineral_site8ec297cb81d4c952f2fef016cc6041c943a77805c1c6ebdeffd48d02e2f3a6d7,Patapsco Mines,,Maryland,"POINT (-76.87717, 39.48922)",3467.0
