ms_uri,GroupID
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206109,GROUP37
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230631,GROUP38
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__moa-bay-jv,GROUP39
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__moa-bay-camarioca-norte-sur,GROUP40
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__moa-bay-eastern-satellites,GROUP41
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pinares-de-mayari-nicaro,GROUP42
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__107,GROUP43
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__113,GROUP44
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__sinarskoe,GROUP44
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__112,GROUP45
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__serovskoe-serov,GROUP45
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__110,GROUP46
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__rogozhinskoe-rogozha,GROUP46
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__109,GROUP47
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__111,GROUP48
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__108,GROUP49
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__cheremshanskoe,GROUP49
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__106,GROUP50
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1713,GROUP51
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1684,GROUP52
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10184182,GROUP53
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097117,GROUP54
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000602,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000648,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098408",GROUP55
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207062,GROUP56
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038448,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303827",GROUP57
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038260,GROUP58
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182798,GROUP59
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134002,GROUP60
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__souker,GROUP60
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10305386,GROUP61
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038973,GROUP62
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039077,GROUP63
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000954,GROUP64
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279683,GROUP65
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230862,GROUP66
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207262,GROUP67
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157966,GROUP68
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279849,GROUP69
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038622,GROUP70
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207326,GROUP71
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038313,GROUP72
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182647,GROUP73
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038314,GROUP74
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134414,GROUP75
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134371,GROUP76
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206924,GROUP77
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303905,GROUP78
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182406,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158345",GROUP79
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182215,GROUP80
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10133747,GROUP81
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10191352,GROUP82
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038976,GROUP83
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255059,GROUP84
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255207,GROUP85
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230984,GROUP86
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10304134,GROUP87
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039086,GROUP88
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206806,GROUP89
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10184189,GROUP90
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039091,GROUP91
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000649,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000601",GROUP92
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134307,GROUP93
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134069,GROUP94
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230821,GROUP95
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039160,GROUP96
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134139,GROUP97
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206717,GROUP98
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134425,GROUP99
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085929,GROUP100
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10133722,GROUP101
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039118,GROUP102
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207203,GROUP103
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085870,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10133977",GROUP104
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231331,GROUP105
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097118,GROUP106
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279587,GROUP107
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207325,GROUP108
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158140,GROUP109
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10304048,GROUP110
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10133725,GROUP111
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10118288,GROUP112
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279945,GROUP113
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280005,GROUP114
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157959,GROUP115
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038315,GROUP116
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038450,GROUP117
