ms_uri,source_id,record_id,other_names,country,state_or_province,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10089374,https://mrdata.usgs.gov/mrds,10089374,"",United States,Idaho,POINT (-111.2461 43.14492),EPSG:4326,Uranium Sampling Locality 39,"Coal,Molybdenum,Uranium,Germanium",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091052,https://mrdata.usgs.gov/mrds,10091052,"",United States,Colorado,POINT (-106.87745 39.00307),EPSG:4326,Brush Cr. Mining Co.,"Gold,Silver,Lead,Uranium,Germanium",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10093045,https://mrdata.usgs.gov/mrds,10093045,Deep Lake,United States,Washington,POINT (-117.6225 48.84958),EPSG:4326,Farmer,"Germanium,Silver,Gallium,Zinc,Lead","Non-sulfide zinc-lead ± Mn,Supergene zinc"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10093690,https://mrdata.usgs.gov/mrds,10093690,"",United States,Idaho,POINT (-111.59412 43.44411),EPSG:4326,Uranium Sample Locality 2,"Coal,Molybdenum,Uranium,Germanium",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10093691,https://mrdata.usgs.gov/mrds,10093691,"",United States,Idaho,POINT (-111.58752 43.36742),EPSG:4326,Uranium Sample Locality 8,"Coal,Molybdenum,Germanium,Uranium","Carbonate uranium,Coal/peat/bog uranium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10093693,https://mrdata.usgs.gov/mrds,10093693,"",United States,Idaho,POINT (-111.51162 43.31992),EPSG:4326,Uranium Sampling Locality 29,"Coal,Germanium,Molybdenum,Uranium","Black shale uranium,Coal/peat/bog uranium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10093694,https://mrdata.usgs.gov/mrds,10093694,"",United States,Idaho,POINT (-111.38161 43.14742),EPSG:4326,Uranium Sampling Locality 38,"Coal,Molybdenum,Uranium,Germanium",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101867,https://mrdata.usgs.gov/mrds,10101867,"MS 865,Iron Clad,Patented Claims,St,Louis,Red Dog,MS 6132,Silver Clad Mine,Santa Cruz,Bancroft,MS 6515,Rainbow,MS 8099,Unpatented Claims,Rico Boy",United States,Colorado,POINT (-108.03565 37.68668),EPSG:4326,Iron Clad Mine,"Copper,Lead,Cadmium,Silver,Zinc,Germanium,Gold",Replacement polymetallic
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10120955,https://mrdata.usgs.gov/mrds,10120955,"1 Mine,Number One Mine,Number 1 Mine",United States,Illinois,POINT (-88.15893 37.54257),EPSG:4326,"Minerva No. 1 Mine,#1 Mine","Fluorine-Fluorite,Lead,Silver,Germanium,Cadmium,Barium-Barite,Gallium",MVT fluorspar
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134596,https://mrdata.usgs.gov/mrds,10134596,Prince Leopold Mine (until 1962),"","",POINT (27.23464 -11.76416),EPSG:4326,Kipushi,"Silver,Germanium,Zinc,Molybdenum,Copper,Cobalt,Cadmium,Rhenium,Gallium",Kipushi-type sediment- hosted copper- zinc-lead
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10140977,https://mrdata.usgs.gov/mrds,10140977,"2,Beaumont",United States,California,POINT (-116.88336 34.30692),EPSG:4326,Beaumont No. 2,"Gold,Osmium,Germanium",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10179407,https://mrdata.usgs.gov/mrds,10179407,Rutile Prospect,United States,Vermont,POINT (-72.90391 44.42637),EPSG:4326,Mullen Prospect,"Titanium,Gallium,Iron,Germanium,Tungsten","Anorthosite massif titanium,Apatite- nepheline- titanite intrusion,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182827,https://mrdata.usgs.gov/mrds,10182827,"",Russia,"",POINT (149.41391 64.565),EPSG:4326,Vesnovka,"Copper,Zinc,Germanium,Lead",Kipushi-type sediment- hosted copper- zinc-lead
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10204060,https://mrdata.usgs.gov/mrds,10204060,"",United States,Utah,POINT (-113.82801 37.05778),EPSG:4326,Dewey,"Germanium,Copper,Lead","Ferroan carbonate polymetallic,Vein copper"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230678,https://mrdata.usgs.gov/mrds,10230678,"",Mexico,"",POINT (-100.80038 26.94612),EPSG:4326,Sierra Pajares Azu,"Phosphorus-Phosphates,Germanium",Apatite- nepheline- titanite intrusion
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10234227,https://mrdata.usgs.gov/mrds,10234227,"Emerald,Tel Star,Ruby,Grant,Anita Copper,Ariz",United States,Arizona,POINT (-112.21715 35.86112),EPSG:4326,Anita,"Germanium,Dolomite,Iron,Copper","Ferroan carbonate polymetallic,Iron oxide poly- metallic,Iron silicate polymetallic"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10235963,https://mrdata.usgs.gov/mrds,10235963,"Big T,Big T No 2,Big Tee Mine,Group",United States,California,POINT (-117.6315 36.10668),EPSG:4326,"Big T No. 2,Big T No 2","Germanium,Copper,Silver,Lead","Ferroan carbonate polymetallic,Mesozonal orogenic gold,Orogenic silver-lead- zinc-copper- antimony,Vein polymetallic"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10251007,https://mrdata.usgs.gov/mrds,10251007,Elmwood-Gordonsville Mine,United States,Tennessee,POINT (-85.93436 36.19699),EPSG:4326,Gordonsville-Elmwood,"Zinc,Stone,Germanium,Limestone,Stone, Crushed/Broken","Irish-type sediment- hosted zinc- lead,Replacement zinc-lead,Sandstone-hosted zinc-lead,Supergene zinc"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10260716,https://mrdata.usgs.gov/mrds,10260716,"",United States,California,POINT (-120.71382 38.7471),EPSG:4326,Old Gravel Mine,Germanium,"Fluvial placer REE,Fluvial placer garnet,Fluvial placer gold,Fluvial placer tungsten"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10276875,https://mrdata.usgs.gov/mrds,10276875,Dixie,United States,Utah,POINT (-113.80471 37.06938),EPSG:4326,Apex,"Copper,Silver,Zinc,Arsenic,Germanium,Gallium","Iron oxide poly- metallic,Non-sulfide zinc-lead ± Mn"
