country,ms_uri,source_id,record_id,state_or_province,location,crs,other_names,site_name,commodity,deposit_type,link_method,longitude,latitude,GroupID
France,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079659,https://mrdata.usgs.gov/mrds,10079659,"",POINT (166.9985200000000134 -22.2302099999999996),EPSG:4326,Comifamfac Project,Goro,",balt",Laterite nickel,GEO,166.99852,-22.23021,https://mrdata.usgs.gov/mrds1391
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10026486,https://mrdata.usgs.gov/mrds,10026486,North Carolina,POINT (-82.5067999999999984 35.7717699999999965),EPSG:4326,"",Morgan Hill Chromite,",,,,","Laterite nickel,Ophiolite nickel-copper-PGE",GEO,-82.5068,35.77177,https://mrdata.usgs.gov/mrds1392
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067532,https://mrdata.usgs.gov/mrds,10067532,Alabama,POINT (-85.6166199999999833 33.9834699999999899),EPSG:4326,"",Harbour Thompson,"balt,,",Black shale nickel ± Mo- PGE,GEO,-85.61662,33.98347,https://mrdata.usgs.gov/mrds1393
Canada,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024477,https://mrdata.usgs.gov/mrds,10024477,Ontario,POINT (-81.3997899999999959 46.6333199999999977),EPSG:4326,Levack West,Mccreedy West,",balt,Silver,, elements,pper,Gold,",Impact U-M intrusion nickel- copper-PGE,GEO,-81.39979,46.63332,https://mrdata.usgs.gov/mrds1394
Canada,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024590,https://mrdata.usgs.gov/mrds,10024590,Ontario,POINT (-81.3997899999999959 46.6333199999999977),EPSG:4326,Levack West,Mccreedy West,",pper,,Silver,balt,Gold,, elements",Impact U-M intrusion nickel- copper-PGE,GEO,-81.39979,46.63332,https://mrdata.usgs.gov/mrds1394
Zimbabwe,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207697,https://mrdata.usgs.gov/mrds,10207697,Manicaland,POINT (31.3513200000000012 -17.3303599999999953),EPSG:4326,"",(Facility) Bindura,"balt,pper,","Black shale nickel ± Mo- PGE,Komatiite nickel-copper-PGE,Laterite nickel",GEO,31.35132,-17.33036,https://mrdata.usgs.gov/mrds1395
South Africa,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038808,https://mrdata.usgs.gov/mrds,10038808,"",POINT (27.1613900000000008 -24.9408699999999968),EPSG:4326,"Union Section,Rustenburg Platinum Mines Ltd",Union,",,pper,,,, elements,,,Gold","U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",GEO,27.16139,-24.94087,https://mrdata.usgs.gov/mrds1396
Russia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182406,https://mrdata.usgs.gov/mrds,10182406,"",POINT (110.4158999999999935 57.1644600000000054),EPSG:4326,"Chaya,Nyurundukan,Ioko-Dovyren",Ioko Dovyren,"","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,110.4159,57.16446,https://mrdata.usgs.gov/mrds1397
Russia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158345,https://mrdata.usgs.gov/mrds,10158345,"",POINT (110.4158999999999935 57.1644600000000054),EPSG:4326,"",Ioko Dovyren,"","Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE",GEO,110.4159,57.16446,https://mrdata.usgs.gov/mrds1397
United Kingdom,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303860,https://mrdata.usgs.gov/mrds,10303860,"",POINT (-1.9670400000000001 52.5836899999999972),EPSG:4326,"Goscote Refinery,Elkington Refinery",(Facility) Walsall pper Refinery,",Silver,pper,,,,Gold",Felsic-siliciclastic VMS,GEO,-1.96704,52.58369,https://mrdata.usgs.gov/mrds1398
