country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,loc_GroupID,GroupID_location,GroupID_text
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035336,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164739",https://mrdata.usgs.gov/mrds,"10164739,10035336",California,EPSG:4326,"Section 9 Mine,Howe,Section 9","Howe,Howe","","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Skarn tungsten ± Mo",GEO,ALL3326,GROUP24,GROUPALL3326
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10247510,https://mrdata.usgs.gov/mrds,10247510,Nevada,EPSG:4326,"Tilford,Bonita,Snake Creek",Bonita,",,,,","Replacement fluorite,Vein fluorite",GEO,ALL3327,GROUP24,GROUPALL3327
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10045841,https://mrdata.usgs.gov/mrds,10045841,Nevada,EPSG:4326,"",Yellow Jacket s,",,","Greisen tungsten- molybdenum±Bi,Vein fluorite",GEO,ALL3329,GROUP24,GROUPALL3329
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10287278,https://mrdata.usgs.gov/mrds,10287278,Colorado,EPSG:4326,"",Yellow Pine,",,,",Vein polymetallic,GEO,ALL3331,GROUP24,GROUPALL3331
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048193,https://mrdata.usgs.gov/mrds,10048193,Arizona,EPSG:4326,"",Tomb,",,","Greisen beryllium±Li,Greisen tungsten- molybdenum±Bi",GEO,ALL3332,GROUP24,GROUPALL3332
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10015316,https://mrdata.usgs.gov/mrds,10015316,Utah,EPSG:4326,"",Bromide Crosscut,"pper,,,","",GEO,ALL3335,GROUP24,GROUPALL3335
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097883,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10149256",https://mrdata.usgs.gov/mrds,"10097883,10149256",Nevada,EPSG:4326,"Green Dragon,Walker River-Piute Lease,Blue Vein,Hayward,",Howard,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Skarn tungsten ± Mo",GEO,ALL3336,GROUP24,GROUPALL3336
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10190652,https://mrdata.usgs.gov/mrds,10190652,Colorado,EPSG:4326,"",Mojave,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3337,GROUP24,GROUPALL3337
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10149679,https://mrdata.usgs.gov/mrds,10149679,Nevada,EPSG:4326,"",Patterson Pass,",,","Breccia pipe molybdenum,Replacement zinc-lead",GEO,ALL3338,GROUP24,GROUPALL3338
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10102527,https://mrdata.usgs.gov/mrds,10102527,Arizona,EPSG:4326,Curley Group,Berger Phillips,"","Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL3339,GROUP24,GROUPALL3339
