ms_uri,source_id,record_id,country,state_or_province,other_names,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038866,https://mrdata.usgs.gov/mrds,10038866,South Africa,"","South African Land and Exploration Co,Ltd",POINT (28.35701 -26.3091),EPSG:4326,S. A. Lands,"Rhodium,Silver,Iridium,Osmium,platinum-group elements,Gold,Platinum","Fluvial placer PGE,U-M layered intrusion PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038868,https://mrdata.usgs.gov/mrds,10038868,South Africa,"","East Daggafontein Mine,Ltd",POINT (28.51256 -26.28827),EPSG:4326,East Dagga,"Osmium,platinum-group elements,Silver,Ruthenium,Gold,Platinum,Iridium,Rhodium","Fluvial placer PGE,Paleoplacer gold ± uranium,U-M layered intrusion PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038869,https://mrdata.usgs.gov/mrds,10038869,South Africa,"","Vogelstruisbult Gold Mining Areas,Ltd",POINT (28.46812 -26.32993),EPSG:4326,Vogelstruisbult,"Rhodium,Platinum,platinum-group elements,Silver,Gold,Ruthenium,Iridium,Osmium","Fluvial placer PGE,Paleoplacer gold ± uranium,U-M layered intrusion PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038870,https://mrdata.usgs.gov/mrds,10038870,South Africa,"","The Sub Nicel,Ltd",POINT (28.44589 -26.37159),EPSG:4326,Sub Nigel,"Ruthenium,Silver,Rhodium,Platinum,Osmium,Gold,Iridium,platinum-group elements","Fluvial placer PGE,U-M layered intrusion PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038872,https://mrdata.usgs.gov/mrds,10038872,South Africa,"","Leslie Gold Mines,Ltd",POINT (29.03477 -26.50214),EPSG:4326,Leslie,"Rhodium,platinum-group elements,Osmium,Ruthenium,Gold,Platinum,Silver,Iridium","Fluvial placer PGE,U-M layered intrusion PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038873,https://mrdata.usgs.gov/mrds,10038873,South Africa,"","Braken Mines,Ltd",POINT (29.06811 -26.52158),EPSG:4326,Bracken,"Platinum,Rhodium,Silver,Ruthenium,Iridium,platinum-group elements,Osmium,Gold","Fluvial placer PGE,Paleoplacer gold ± uranium,U-M layered intrusion PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038935,https://mrdata.usgs.gov/mrds,10038935,United States,Minnesota,"Ely Nickel Copper,Spruce Open Pit Inco,Ely Spruce,Inco Prospect,Spruce Mine",POINT (-91.681 47.82972),EPSG:4326,"Spruce Open Pit Inco,Spruce Road deposit","Cobalt,Nickel,Copper,Silver,Palladium,Gold,platinum-group elements,Platinum",U-M layered intrusion nickel- copper-PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038938,https://mrdata.usgs.gov/mrds,10038938,Russia,"","",POINT (108.63162 49.36119),EPSG:4326,Springs Near Bodo,"Gold,Platinum,platinum-group elements",Fluvial placer PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038973,https://mrdata.usgs.gov/mrds,10038973,Russia,"","",POINT (119.36233 72.3408),EPSG:4326,Boulkalakh River Basin,"Ruthenium,Platinum,Copper,Iron,Nickel,platinum-group elements,Palladium",Fluvial placer PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038974,https://mrdata.usgs.gov/mrds,10038974,Russia,"","",POINT (117.49332 72.2305),EPSG:4326,Khatygyn - Uele River,"Copper,Platinum,Palladium,Nickel,platinum-group elements",Fluvial placer PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038975,https://mrdata.usgs.gov/mrds,10038975,Russia,"","",POINT (117.16308 72.11549),EPSG:4326,Kangalas - Uele River,"Nickel,platinum-group elements,Palladium,Copper,Platinum",Fluvial placer PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038976,https://mrdata.usgs.gov/mrds,10038976,Russia,"","",POINT (117.19984 71.16074),EPSG:4326,Udzha River,"Copper,Nickel,platinum-group elements,Palladium,Platinum,Ruthenium",Fluvial placer PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039122,https://mrdata.usgs.gov/mrds,10039122,Russia,"","",POINT (59.61846 58.79539),EPSG:4326,Bolshaya Gusevka,"platinum-group elements,Iridium,Rhodium,Palladium,Platinum",Fluvial placer PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039159,https://mrdata.usgs.gov/mrds,10039159,Russia,"","",POINT (123.79761 54.87706),EPSG:4326,Ludina Intrusion,"Nickel,Cobalt,platinum-group elements,Chromium,Copper","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039170,https://mrdata.usgs.gov/mrds,10039170,Russia,"","",POINT (87.42897 67.99779),EPSG:4326,Sukharikhiiskii,"Silver,Sulfur,Germanium,platinum-group elements,Copper","Arc U-M intru- sion nickel- copper-PGE,U-M conduit nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039178,https://mrdata.usgs.gov/mrds,10039178,Canada,Ontario,"Ltd,Teck Corp",POINT (-82.29982 48.63333),EPSG:4326,Teck,"Copper,Platinum,Nickel,platinum-group elements","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M intrusion nickel-copper- PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039193,https://mrdata.usgs.gov/mrds,10039193,Australia,Western Australia,"",POINT (121.78252 -31.02942),EPSG:4326,Carnilya Hill,"platinum-group elements,Nickel,Gold,Copper",Komatiite nickel-copper-PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039232,https://mrdata.usgs.gov/mrds,10039232,South Africa,"","",POINT (28.50142 -24.49668),EPSG:4326,Merensky Reef,"Osmium,Iridium,Copper,Molybdenum,platinum-group elements,Nickel,Chromium,Palladium,Rhodium,Lead,Gold,Platinum",U-M layered intrusion PGE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039233,https://mrdata.usgs.gov/mrds,10039233,Guatemala,"",La Gloria,POINT (-89.33339 16.50077),EPSG:4326,Eximbal,"platinum-group elements,Nickel,Cobalt",Laterite nickel
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039244,https://mrdata.usgs.gov/mrds,10039244,Canada,Ontario,"",POINT (-81.19978 48.16667),EPSG:4326,Texmont,"Copper,Nickel,platinum-group elements","Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039245,https://mrdata.usgs.gov/mrds,10039245,Canada,Quebec,"",POINT (-78.433 48.64999),EPSG:4326,Dumont Nickel Mine,"Nickel,platinum-group elements","Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,Vein ± replacement nickel"
