ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity,deposit_type
https://minmod.isi.edu/resource/mineral_siteb0500eadfe6a1377b514cb3d1c5328e93fa253fbced10d7b09cc622d3a30ceb7,https://mrdata.usgs.gov/mrds,10230780,Vuonos,Finland,"",POINT (29.11611 62.70842),EPSG:4326,"copper,cobalt,zinc","Bauxite,Metamorphic kyanite,Vein cobalt u00b1 Ni,Carbonate uranium,Sedimentary manganese,Laterite nickel,Porphyry gold u00b1 copper,Sediment-hosted copper u00b1 Co"
https://minmod.isi.edu/resource/mineral_site7e12fdc3f134f69d3173bfcd8e7bb23f2840ba192edbae64eb8408b123b39ce1,https://doi.org/10.5066/P96MMRFD,EA034,Eagle Bluff,United States,Alaska,POINT (141.1988 64.7981),EPSG:4269,"cobalt,lead,nickel,gold,silver,zinc,tin,copper",""
https://minmod.isi.edu/resource/mineral_siteb6381374032cc6723396584bdc0e75597fd285e7b8e5cd938c0b156b737e8d5e,https://mrdata.usgs.gov/mrds,10181901,Terra Operations,Canada,Northwest Territories,POINT (-118.11849 65.60016),EPSG:4326,"silver,copper,cobalt,bismuth","Vein five-element,Orogenic silver-lead- zinc-copper- antimony,Supergene silver"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ilmolahti-makisalo,https://doi.org/10.5382/econgeo.4950,Ilmolahti-Mäkisalo,Ilmolahti-Mäkisalo,Finland,"","",EPSG:4326,"cobalt,nickel","Magmatic Sulphide,Small M-UM Intrusion-related"
https://minmod.isi.edu/resource/mineral_site1f5effd93f653694040eb625e6f9dc8c55850a79f42f873edf7a87de535013f2,https://mrdata.usgs.gov/mrds,10200927,Doe Gap,United States,Oregon,POINT (-123.87146 42.13012),EPSG:4326,"nickel,chromium,cobalt","Ophiolite chromium,Volcanogenic manganese,Arc U-M intru- sion nickel- copper-PGE,Laterite nickel"
https://minmod.isi.edu/resource/mineral_sitead9501650693a2e29b6d5c61286499c6f8a70726ad01dc3df0461006648d1980,https://mrdata.usgs.gov/mrds,60000642,Merensky Reef: Western Bushveld,South Africa,"",POINT (27.25145 -25.66334),EPSG:4326,"cobalt,copper,nickel,platinum-group elements","U-M layered intrusion chromium,U-M intrusion nickel-copper- PGE,Fluvial placer PGE,U-M layered intrusion PGE,STRATIFORM,MASSIVE,MAGMATIC"
https://minmod.isi.edu/resource/mineral_site72ce2877d02e8bd108ac2346800c01dc441e7b36a3b0532fa2792b703c68cfcc,https://mrdata.usgs.gov/mrds,10067838,Cottonwood Canyon Nickel Deposit,United States,Nevada,POINT (-117.91318 39.99657),EPSG:4326,"cobalt,copper,nickel","Epithermal mercury,Arc U-M intru- sion nickel- copper-PGE,Vein fluorite,Vein cobalt u00b1 Ni,Vein polymetallic,Skarn copper,Vein five-element,Skarn zinc-lead-silver"
https://minmod.isi.edu/resource/mineral_site417fc1bc1f86b29f92b4e5d3a17a065f23792b3c66fa95d3144a996b38d7617d,https://mrdata.usgs.gov/mrds,10208933,Apex 1-12,United States,Alaska,POINT (-148.34612 65.42887),EPSG:4326,"cobalt,platinum,gold,platinum-group elements","Fluvial placer PGE,Shoreline placer gold,Fluvial placer gold,Kimberlite diamond,Fluvial placer gemstones,Arc U-M intru- sion nickel- copper-PGE"
https://minmod.isi.edu/resource/mineral_sitec7dbbf6d8f83646f7449d45d2ea48f976d4b7f306e6f07b755e3acc7d8559c40,https://mrdata.usgs.gov/mrds,10069376,Temiskaming Silver-Cobalt Deposits - Canada,Canada,Ontario,POINT (-79.09971 46.71666),EPSG:4326,"nickel,silver,cobalt","Vein cobalt u00b1 Ni,Vein"
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__mount-thirsty-mission-sill,https://doi.org/10.5382/econgeo.4950,Mount Thirsty-Mission Sill,Mount Thirsty-Mission Sill,Australia,"","",EPSG:4326,"nickel,cobalt","Proterozoic komatiite,Proterozoic Komatiite,Magmatic Sulphide"
