ms_uri,source_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_site7e86006b756f90c2e774e000cd0ce12c43829f9fba863775f70ca1d859bda9e5,MRDS,Kiviyarvi Deposit,Russia,,"POINT (31.96939, 62.16505)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sited320fbd10ca7fed3801127b9970168ae5c11c6b38b567cd93c428e2f2fa07994,MRDS,Wellgreen Lode,Canada,Yukon Territory*,"POINT (-139.19292, 61.3214)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitef50dbca2d3a851bcd00b24bbb84d69288db89f184c383b5717ea081ccc13795c,MRDS,(Facility) Asarco Refinery,United States,Washington,"POINT (-122.50683, 47.2998)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site5642a66bdaee8b610d76fe9941a2ceb2febe8bccc64682fb15bb464c5f73adee,MRDS,Key Lake Uranium Mine,Canada,Saskatchewan,"POINT (-105.56754, 57.18335)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitef09f7aaaf65124de4bc87e94ecc2a87f73f8f993ddc0bc3c8bf68084c69d437c,MRDS,Lago Negro,Chile,,"POINT (-72.64781, -46.54946)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site216d2fbc0797f6c45ebf351d62e849bd0a2eceedf32a515ebc836d51c054987f,MRDS,Swinomish Bay,United States,Washington,"POINT (-122.51455, 48.3909)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteb6e0b5745aad9f05dfd4e9bfffe06f906bf2e2fabbba2df5ce4f5fb1e7f48f7b,MRDS,"Ningua Quenghi, New Caledonia",France,Territory of New Caledonia and Dependencies,"POINT (166.06519, -21.78022)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sited9c661ead1584e9ae0b108ca1489f4ba4f1eca56c81546f46a7595004333416e,MRDS,King Tut,Argentina,La Rioja,"POINT (-67.93696, -28.39329)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site79e1d688d9ad30fa4ed44b389acbc12261fd09146d9ed1dfa94a3b78ecceedc5,MRDS,Eight Dollar Mountain,United States,Oregon,"POINT (-123.65226, 42.24732)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitead6994a2cee98897c7f8599bd735b3cba810655a342d12e00aab52031cdad602,MRDS,Ambatory+Analamy/Moramanga Prospect,Madagascar,Antananarivo,"POINT (48.25107, -18.91355)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitef7be006a3e9e7e9564e80a3611166759ab81cb50a587f5ba72ab47ba762f4e87,MRDS,Mystery Lake South,Canada,Ontario,"POINT (-97.76297, 55.8209)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site738cd27f9a0318eb06ef3a3353f03572b4ee9a649aa85dd7eff4cec9bfbf47b7,MRDS,Laguna Catalcito,Bolivia,Potosi,"POINT (-67.2328, -22.58086)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site3149d68fedaedcd7ab80759ed7d9c741b93b110d97e554aac9a0908baa65860d,MRDS,(Facility) Shisaka-Jim Smelter,Japan,Ehime,"POINT (133.26558, 33.53204)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site55e4bc717c2fa1be4e317c14ff997a4474a0f160d2453c4fcf03bd9bc903b0b4,MRDS,Kefdag Chromite Mine,Turkey,,"POINT (35.18123, 39.05925)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitedcdf57a4063efe4c167f53408e176af97ebeb064076586e1c9b755b2c52d1c01,MRDS,Poun,France,,"POINT (165.91524, -19.99697)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site0b1c5930a1c5ded91fb0eb7397eece2fa76ba97da8605592a3836dc0c61c12bc,MRDS,Lobikis Mine,United States,Maine,"POINT (-70.49772, 44.48996)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site362d2e2e2e7e844c1c8d26fcc5f7de2f471b79220d1eb1ee8cda098f93e54b07,MRDS,Monarch,United States,Washington,"POINT (-120.66287, 47.44622)",EPSG:4326,nickel
