country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041393,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10302124",https://mrdata.usgs.gov/mrds,"10041393,10302124",Washington,EPSG:4326,"","Becker-Anderson-Kirkwood,Becker - Anderson - Kirkwood","","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL2258
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10173061,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022775",https://mrdata.usgs.gov/mrds,"10022775,10173061",Montana,EPSG:4326,"",Rockefeller,",,pper,,,,,,","Greisen tungsten- molybdenum±Bi,Vein tungsten,Greisen tungsten- molybdenum±Bi",GEO,ALL2259
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10208837,https://mrdata.usgs.gov/mrds,10208837,Alaska,EPSG:4326,"",Black Mountain Lode,",,,,","",GEO,ALL2260
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10259586,https://mrdata.usgs.gov/mrds,10259586,Arizona,EPSG:4326,"Russell Tungsten,Good Luck",New Hope,",,,, Semiprecious,","Greisen beryllium±Li,Greisen tungsten- molybdenum±Bi",GEO,ALL2261
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10115072,https://mrdata.usgs.gov/mrds,10115072,California,EPSG:4326,"",Holiday s,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo",GEO,ALL2262
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10163327,https://mrdata.usgs.gov/mrds,10163327,California,EPSG:4326,"",Glacier Nos,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2263
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137745,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10027529",https://mrdata.usgs.gov/mrds,"10137745,10027529",Arizona,EPSG:4326,"",Jonell,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL2264
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10210245,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10109816",https://mrdata.usgs.gov/mrds,"10109816,10210245",Arizona,EPSG:4326,"Maybe Prospect,Belcher,Foy GroupFoy,",Mayby,",,","Breccia pipe molybdenum,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Vein tungsten,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL2266
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10247009,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10103947",https://mrdata.usgs.gov/mrds,"10247009,10103947",Nevada,EPSG:4326,",Wayne Lode",Yellow Scheelite,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Skarn tungsten ± Mo",GEO,ALL2267
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10173813,https://mrdata.usgs.gov/mrds,10173813,Nevada,EPSG:4326,"",Mountain City Mill,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten",GEO,ALL2268
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10117620,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101404",https://mrdata.usgs.gov/mrds,"10101404,10117620",California,EPSG:4326,"Jupiter,Whynot,","Kern-Sierra,Kern-Sierra s","pper,,,","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo",GEO,ALL2269
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10139529,https://mrdata.usgs.gov/mrds,10139529,California,EPSG:4326,"",Big Ram Extension s,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2270
